x,y,score
0.0,0.0,3.0
0.0,0.01,2.9629999999999996
0.0,0.02,2.9244999999999997
0.0,0.03,2.91175
0.0,0.04,2.8165
0.0,0.05,2.84825
0.0,0.06,2.7239999999999998
0.0,0.07,2.73925
0.0,0.08,2.6307500000000004
0.0,0.09,2.6354999999999995
0.0,0.1,2.515
0.0,0.11,2.52675
0.0,0.12,2.49625
0.0,0.13,2.2325000000000004
0.0,0.14,2.09075
0.0,0.15,2.1015
0.0,0.16,2.12575
0.0,0.17,1.80925
0.0,0.18,2.0300000000000002
0.0,0.19,1.8649999999999998
0.0,0.2,1.8830000000000002
0.0,0.21,1.762
0.0,0.22,1.7645000000000004
0.0,0.23,1.7172500000000004
0.0,0.24,1.46875
0.0,0.25,1.4075000000000002
0.0,0.26,1.35975
0.0,0.27,1.3955
0.0,0.28,1.2254999999999998
0.0,0.29,1.3567500000000001
0.0,0.3,1.29025
0.0,0.31,1.14725
0.0,0.32,1.22825
0.0,0.33,1.1720000000000002
0.0,0.34,1.2345000000000002
0.0,0.35000000000000003,1.11925
0.0,0.36,1.1525
0.0,0.37,1.091
0.0,0.38,1.09975
0.0,0.39,1.0894999999999997
0.0,0.4,1.081
0.0,0.41000000000000003,1.06925
0.0,0.42,1.09225
0.0,0.43,1.0327499999999998
0.0,0.44,1.0792499999999998
0.0,0.45,1.08475
0.0,0.46,1.058
0.0,0.47000000000000003,1.0522499999999997
0.0,0.48,1.04975
0.0,0.49,1.0567499999999999
0.0,0.5,1.0307499999999998
0.0,0.51,1.0297499999999997
0.0,0.52,1.0394999999999999
0.0,0.53,1.0374999999999999
0.0,0.54,1.022
0.0,0.55,1.022
0.0,0.56,1.03925
0.0,0.5700000000000001,1.02575
0.0,0.58,1.0079999999999998
0.0,0.59,1.0144999999999997
0.0,0.6,1.002
0.0,0.61,1.0105
0.0,0.62,1.0115000000000003
0.0,0.63,1.00975
0.0,0.64,1.0122499999999999
0.0,0.65,1.0105
0.0,0.66,1.0075
0.0,0.67,1.00625
0.0,0.68,1.0070000000000001
0.0,0.6900000000000001,1.0077499999999997
0.0,0.7000000000000001,1.0045
0.0,0.71,1.0012499999999998
0.0,0.72,1.0069999999999997
0.0,0.73,0.9999999999999998
0.0,0.74,1.0037500000000001
0.0,0.75,0.9974999999999998
0.0,0.76,0.9977499999999996
0.0,0.77,0.9952499999999997
0.0,0.78,1.0025
0.0,0.79,0.9972499999999999
0.0,0.8,0.9942499999999999
0.0,0.81,1.00175
0.0,0.8200000000000001,0.9957499999999999
0.0,0.8300000000000001,0.9967499999999998
0.0,0.84,0.99375
0.0,0.85,0.99275
0.0,0.86,0.9979999999999999
0.0,0.87,0.9927499999999997
0.0,0.88,0.9927499999999997
0.0,0.89,0.9922499999999997
0.0,0.9,0.9914999999999997
0.0,0.91,0.9929999999999998
0.0,0.92,0.9912499999999996
0.0,0.93,0.9919999999999997
0.0,0.9400000000000001,0.9919999999999998
0.0,0.9500000000000001,0.9917499999999997
0.0,0.96,0.9904999999999997
0.0,0.97,0.9912499999999996
0.0,0.98,0.9904999999999997
0.0,0.99,0.9899999999999997
0.0,1.0,0.9899999999999997
0.01,0.0,3.0
0.01,0.01,2.97225
0.01,0.02,2.94025
0.01,0.03,2.9052499999999997
0.01,0.04,2.8872500000000003
0.01,0.05,2.8442499999999997
0.01,0.06,2.8255
0.01,0.07,2.7017499999999997
0.01,0.08,2.71625
0.01,0.09,2.7232499999999997
0.01,0.1,2.55625
0.01,0.11,2.633
0.01,0.12,2.55375
0.01,0.13,2.355
0.01,0.14,2.2232499999999997
0.01,0.15,2.345
0.01,0.16,2.2945
0.01,0.17,2.3135000000000003
0.01,0.18,2.029
0.01,0.19,2.07025
0.01,0.2,2.036
0.01,0.21,2.0330000000000004
0.01,0.22,1.81475
0.01,0.23,1.7442499999999999
0.01,0.24,1.6022499999999997
0.01,0.25,1.7119999999999997
0.01,0.26,1.7537499999999997
0.01,0.27,1.764
0.01,0.28,1.5547499999999999
