x,y,score
0.46,0.76,1.98415
0.54,0.86,1.994
0.16,0.19,2.1838
0.61,0.18,2.72145
0.82,0.41,2.5565
0.72,0.66,2.28265
0.63,0.37,2.48995
0.41,0.28,2.4456
0.16,0.44,1.7227
0.8,0.33,2.61735
0.84,0.23,2.7386
0.25,0.48,1.90805
0.62,0.7,2.1852
0.78,0.28,2.65625
0.03,0.68,1.1341
0.57,0.0,3.0
0.69,0.37,2.52615
0.46,0.05,2.8937
0.65,0.03,2.95005
0.56,0.8,2.0678
0.28,0.44,1.9927
0.65,0.0,3.0
0.57,0.1,2.82395
0.44,0.29,2.41585
0.63,0.49,2.36385
0.26,0.03,2.8857
0.92,0.27,2.72295
0.69,0.35,2.55045
0.79,0.78,2.2594
0.3,0.26,2.3375
0.98,0.54,2.514
0.25,0.62,1.7643
0.55,0.43,2.3685
0.19,0.06,2.71565
0.14,0.65,1.5103
0.09,0.65,1.3674
0.92,1.0,2.1981
0.51,0.43,2.3337
0.36,0.66,1.9274
0.33,0.92,1.71685
0.01,0.93,1.0267
0.25,0.81,1.6309
0.9,0.46,2.5391
0.3,0.12,2.6322
0.87,0.59,2.4312
0.8,0.75,2.2706
0.93,0.2,2.789
0.34,0.41,2.1668
0.05,0.48,1.29305
0.9,0.12,2.86915
0.59,0.65,2.1897
0.72,0.62,2.3159
0.29,0.87,1.68685
0.02,0.72,1.0888
0.8,0.35,2.5977
0.09,0.22,1.79175
0.05,0.61,1.2333
0.49,0.38,2.3778
0.62,0.21,2.68035
0.79,0.55,2.41895
0.64,0.52,2.35015
0.17,0.15,2.34035
0.45,0.81,1.9343
0.48,0.8,1.97385
0.51,0.39,2.3642
0.62,0.39,2.44785
0.58,0.64,2.19405
0.8,0.62,2.37435
0.6,0.07,2.88415
0.35,0.87,1.76895
0.85,0.83,2.25365
0.96,0.89,2.28115
0.68,0.4,2.492
0.13,0.15,2.18745
0.14,0.31,1.8602
0.15,0.88,1.418
0.72,0.97,2.08535
0.56,0.33,2.4939
0.52,0.26,2.55535
0.99,0.97,2.25275
0.9,0.63,2.40885
0.31,0.47,2.03535
0.98,0.8,2.33945
0.31,0.34,2.2108
0.22,0.4,1.932
0.87,0.37,2.61185
0.76,0.43,2.4935
0.79,0.76,2.2649
0.83,0.38,2.58295
0.74,0.12,2.82985
0.68,0.51,2.3932
0.56,0.43,2.3759
0.63,0.01,2.9836
0.45,0.24,2.52495
0.52,0.13,2.7503
0.64,0.47,2.38935
0.51,0.91,1.9449
0.78,0.92,2.15685
0.92,0.54,2.48895
0.75,0.83,2.1853
0.72,0.5,2.41225
0.53,0.74,2.07925
0.82,0.88,2.2113
0.63,0.35,2.5174
0.8,0.56,2.41275
0.99,0.8,2.343
0.69,0.67,2.25765
0.44,0.43,2.2536
0.71,0.62,2.3134
0.63,0.08,2.8754
0.48,0.4,2.33775
0.93,0.51,2.51605
0.65,0.12,2.81805
0.78,0.34,2.5978
0.17,0.41,1.80795
0.59,0.93,2.0101
0.98,0.65,2.4336
0.89,0.49,2.51835
0.09,0.48,1.4802
0.98,0.94,2.26325
0.6,0.72,2.1567
0.74,0.48,2.45375
0.48,0.19,2.64145
0.15,0.11,2.42255
0.86,0.55,2.45215
0.97,0.56,2.49435
1.0,0.64,2.4494
0.43,0.66,2.0172
0.85,0.2,2.7708
0.02,0.64,1.0962
0.26,0.02,2.9188
0.12,0.68,1.42475
0.66,0.15,2.7724
0.75,0.58,2.36255
0.04,0.92,1.119
0.15,0.58,1.59105
0.4,0.84,1.84305
0.94,0.97,2.22405
0.64,0.08,2.87295
0.08,0.63,1.3258
0.81,0.9,2.1859
0.21,0.79,1.5805
0.21,0.13,2.49475
0.82,0.12,2.8547
0.77,0.84,2.1892
0.76,0.89,2.1647
0.06,0.34,1.46345
0.92,0.45,2.55865
0.41,0.87,1.84075
0.11,0.48,1.5311
0.67,0.53,2.3658
0.36,0.88,1.78115
0.47,0.6,2.13395
0.34,0.03,2.91455
0.79,0.95,2.1493
0.24,0.56,1.80255
0.17,0.32,1.94095
0.59,0.26,2.59405
0.59,0.68,2.17755
1.0,0.57,2.5055
0.63,0.84,2.09705
0.72,0.58,2.3483
0.84,0.68,2.34565
0.07,0.87,1.2121
0.71,0.48,2.43365
0.27,0.76,1.7049
0.2,0.43,1.8572
0.25,0.83,1.6202
0.74,0.97,2.0972
0.56,0.06,2.8926
0.77,0.18,2.76945
0.61,0.23,2.6504
0.73,0.56,2.37265
0.4,0.67,1.9691
0.93,0.15,2.84075
0.37,0.3,2.35375
0.89,0.6,2.4298
0.32,0.92,1.6978
0.97,0.95,2.2524
0.96,0.12,2.8771
0.74,0.25,2.67005
0.47,0.92,1.89065
0.13,0.43,1.641
0.8,0.68,2.3226
0.01,0.53,1.0706
0.69,0.03,2.95605
0.73,0.82,2.1787
0.97,0.94,2.2579
0.9,1.0,2.1867
0.08,0.23,1.7317
0.82,0.79,2.25985
0.42,0.46,2.19255
0.62,0.93,2.03255
0.71,0.43,2.4732
0.77,0.04,2.9503
0.97,0.53,2.51475
0.73,0.22,2.71525
0.59,0.14,2.7801
0.5,0.81,1.99395
0.4,1.0,1.75775
0.89,0.12,2.8626
0.05,0.83,1.1707
0.19,0.67,1.61235
0.97,0.93,2.26615
0.69,0.2,2.721
0.72,0.64,2.2972
0.94,0.47,2.5564
0.81,0.73,2.29415
0.5,0.86,1.95715
0.15,0.5,1.65715
0.45,0.28,2.46525
0.48,0.93,1.8933
0.15,0.25,2.00815
0.32,0.14,2.5982
0.62,0.38,2.47515
0.48,0.51,2.2243
0.61,0.92,2.0295
0.34,0.82,1.78285
