x,y,score
0.46,0.76,2.3703
0.54,0.86,2.5521
0.16,0.19,1.9394
0.61,0.18,3.3979
0.82,0.41,4.2531
0.72,0.66,3.81315
0.63,0.37,3.40405
0.41,0.28,2.5999
0.16,0.44,1.7291
0.8,0.33,4.18845
0.84,0.23,4.34785
0.25,0.48,1.8869
0.62,0.7,3.29895
0.78,0.28,4.1037
0.03,0.68,1.08335
0.57,0.0,3.2939
0.69,0.37,3.71975
0.46,0.05,2.8782
0.65,0.03,3.61415
0.56,0.8,2.8243
0.28,0.44,2.02185
0.65,0.0,3.6174
0.57,0.1,3.27585
0.44,0.29,2.70065
0.63,0.49,3.3997
0.26,0.03,2.32615
0.92,0.27,4.6821
0.69,0.35,3.7056
0.79,0.78,4.08505
0.3,0.26,2.25685
0.98,0.54,4.9078
0.25,0.62,1.7271
0.55,0.43,3.08275
0.19,0.06,2.1535
0.14,0.65,1.36205
0.09,0.65,1.25805
0.92,1.0,4.6527
0.51,0.43,2.8802
0.36,0.66,2.0742
0.33,0.92,1.12285
0.01,0.93,0.6435
0.25,0.81,1.28635
0.9,0.46,4.57505
0.3,0.12,2.3688
0.87,0.59,4.4697
0.8,0.75,4.15265
0.93,0.2,4.7348
0.34,0.41,2.24665
0.05,0.48,1.41945
0.9,0.12,4.6071
0.59,0.65,3.15
0.72,0.62,3.8084
0.29,0.87,1.26945
0.02,0.72,0.9927
0.8,0.35,4.17985
0.09,0.22,1.7859
0.05,0.61,1.22005
0.49,0.38,2.82865
0.62,0.21,3.4136
0.79,0.55,4.112
0.64,0.52,3.43525
0.17,0.15,2.01765
0.45,0.81,2.24945
0.48,0.8,2.41645
0.51,0.39,2.89545
0.62,0.39,3.36735
0.58,0.64,3.12595
0.8,0.62,4.15705
0.6,0.07,3.3924
0.35,0.87,1.46255
0.85,0.83,4.35675
0.96,0.89,4.8197
0.68,0.4,3.65015
0.13,0.15,1.92695
0.14,0.31,1.81575
0.15,0.88,0.83715
0.72,0.97,3.3944
0.56,0.33,3.1398
0.52,0.26,3.02455
0.99,0.97,4.9432
0.9,0.63,4.5953
0.31,0.47,2.1381
0.98,0.8,4.899
0.31,0.34,2.217
0.22,0.4,1.9076
0.87,0.37,4.48035
0.76,0.43,3.9796
0.79,0.76,4.11225
0.83,0.38,4.29945
0.74,0.12,3.9724
0.68,0.51,3.6355
0.56,0.43,3.1364
0.63,0.01,3.4967
0.45,0.24,2.7681
0.52,0.13,3.06535
0.64,0.47,3.4484
0.51,0.91,2.1409
0.78,0.92,4.01835
0.92,0.54,4.6526
0.75,0.83,3.85255
0.72,0.5,3.81855
0.53,0.74,2.7707
0.82,0.88,4.20435
0.63,0.35,3.43905
0.8,0.56,4.16225
0.99,0.8,4.9476
0.69,0.67,3.66205
0.44,0.43,2.6148
0.71,0.62,3.7537
0.63,0.08,3.49905
0.48,0.4,2.8206
0.93,0.51,4.7027
0.65,0.12,3.57215
0.78,0.34,4.08675
0.17,0.41,1.77615
0.59,0.93,2.58855
0.98,0.65,4.9106
0.89,0.49,4.5698
0.09,0.48,1.5081
0.98,0.94,4.9032
0.6,0.72,3.17615
0.74,0.48,3.90575
0.48,0.19,2.86415
0.15,0.11,2.01885
0.86,0.55,4.4228
0.97,0.56,4.8678
1.0,0.64,4.9886
0.43,0.66,2.3503
0.85,0.2,4.3899
0.02,0.64,1.12095
0.26,0.02,2.32735
0.12,0.68,1.2585
0.66,0.15,3.5912
0.75,0.58,3.93115
0.04,0.92,0.54385
0.15,0.58,1.49465
0.4,0.84,1.87185
0.94,0.97,4.7432
0.64,0.08,3.5445
0.08,0.63,1.27435
0.81,0.9,4.1376
0.21,0.79,1.2714
0.21,0.13,2.1321
0.82,0.12,4.27205
0.77,0.84,3.99635
0.76,0.89,3.96025
0.06,0.34,1.60325
0.92,0.45,4.65665
0.41,0.87,1.78555
0.11,0.48,1.54295
0.67,0.53,3.55765
0.36,0.88,1.48945
0.47,0.6,2.6323
0.34,0.03,2.52905
0.79,0.95,3.98415
0.24,0.56,1.79255
0.17,0.32,1.87465
0.59,0.26,3.3185
0.59,0.68,3.14675
1.0,0.57,4.9898
0.63,0.84,3.2067
0.72,0.58,3.8092
0.84,0.68,4.31675
0.07,0.87,0.7147
0.71,0.48,3.75985
0.27,0.76,1.4933
0.2,0.43,1.8348
0.25,0.83,1.2544
0.74,0.97,3.6274
0.56,0.06,3.2225
0.77,0.18,4.0838
0.61,0.23,3.36905
0.73,0.56,3.8783
0.4,0.67,2.229
0.93,0.15,4.7184
0.37,0.3,2.44575
0.89,0.6,4.54835
0.32,0.92,1.06855
0.97,0.95,4.8588
0.96,0.12,4.8392
0.74,0.25,3.91955
0.47,0.92,1.83195
