x,y,score
0.0,0.0,3.0
0.0,0.01,2.65
0.0,0.02,2.59575
0.0,0.03,2.5405
0.0,0.04,2.3024999999999993
0.0,0.05,2.2440000000000007
0.0,0.06,2.0877499999999998
0.0,0.07,2.1707500000000004
0.0,0.08,2.0075000000000003
0.0,0.09,2.10025
0.0,0.1,1.9950000000000003
0.0,0.11,1.92775
0.0,0.12,1.8497499999999998
0.0,0.13,1.9145000000000003
0.0,0.14,1.8517499999999998
0.0,0.15,1.795
0.0,0.16,1.8072499999999998
0.0,0.17,1.78675
0.0,0.18,1.7875000000000003
0.0,0.19,1.74975
0.0,0.2,1.76275
0.0,0.21,1.7392500000000002
0.0,0.22,1.7037499999999999
0.0,0.23,1.7075000000000002
0.0,0.24,1.69075
0.0,0.25,1.6844999999999999
0.0,0.26,1.6252499999999999
0.0,0.27,1.577
0.0,0.28,1.6145000000000003
0.0,0.29,1.6085
0.0,0.3,1.5572499999999998
0.0,0.31,1.553
0.0,0.32,1.5202499999999999
0.0,0.33,1.5055
0.0,0.34,1.48175
0.0,0.35000000000000003,1.51725
0.0,0.36,1.4929999999999999
0.0,0.37,1.475
0.0,0.38,1.4355
0.0,0.39,1.43425
0.0,0.4,1.3952499999999999
0.0,0.41000000000000003,1.4145000000000003
0.0,0.42,1.3792499999999996
0.0,0.43,1.3499999999999999
0.0,0.44,1.3724999999999998
0.0,0.45,1.3272499999999998
0.0,0.46,1.3232499999999998
0.0,0.47000000000000003,1.2930000000000001
0.0,0.48,1.3009999999999997
0.0,0.49,1.28375
0.0,0.5,1.25275
0.0,0.51,1.2192499999999997
0.0,0.52,1.2107499999999995
0.0,0.53,1.2182499999999998
0.0,0.54,1.1997500000000003
0.0,0.55,1.1794999999999998
0.0,0.56,1.1765
0.0,0.5700000000000001,1.1649999999999998
0.0,0.58,1.13875
0.0,0.59,1.142
0.0,0.6,1.13775
0.0,0.61,1.0995000000000001
0.0,0.62,1.0799999999999998
0.0,0.63,1.065
0.0,0.64,1.0047500000000003
0.0,0.65,1.0117499999999997
0.0,0.66,0.9949999999999998
0.0,0.67,1.0170000000000001
0.0,0.68,0.9752500000000002
0.0,0.6900000000000001,0.9727499999999999
0.0,0.7000000000000001,0.9730000000000001
0.0,0.71,0.9285
0.0,0.72,0.9432500000000001
0.0,0.73,0.9092500000000001
0.0,0.74,0.8780000000000001
0.0,0.75,0.8909999999999998
0.0,0.76,0.8617500000000001
0.0,0.77,0.85625
0.0,0.78,0.8397499999999999
0.0,0.79,0.80575
0.0,0.8,0.8244999999999999
0.0,0.81,0.7870000000000001
0.0,0.8200000000000001,0.75475
0.0,0.8300000000000001,0.7595000000000001
0.0,0.84,0.7474999999999999
0.0,0.85,0.7114999999999999
0.0,0.86,0.701
0.0,0.87,0.68625
0.0,0.88,0.6732500000000001
0.0,0.89,0.6849999999999999
0.0,0.9,0.6467500000000002
0.0,0.91,0.62375
0.0,0.92,0.62575
0.0,0.93,0.5945
0.0,0.9400000000000001,0.591
0.0,0.9500000000000001,0.5642499999999998
0.0,0.96,0.552
0.0,0.97,0.5369999999999999
0.0,0.98,0.5237499999999999
0.0,0.99,0.5077499999999999
0.0,1.0,0.49499999999999983
0.01,0.0,3.0
0.01,0.01,2.75725
0.01,0.02,2.53525
0.01,0.03,2.51875
0.01,0.04,2.2584999999999997
0.01,0.05,2.25425
0.01,0.06,2.142
0.01,0.07,2.1045000000000003
0.01,0.08,2.1510000000000002
0.01,0.09,1.9717500000000001
0.01,0.1,1.9952499999999997
0.01,0.11,1.9694999999999996
0.01,0.12,1.938
0.01,0.13,1.904
0.01,0.14,1.8515000000000001
0.01,0.15,1.8250000000000004
0.01,0.16,1.8712500000000003
0.01,0.17,1.7882500000000001
0.01,0.18,1.82425
0.01,0.19,1.7640000000000005
0.01,0.2,1.7577500000000001
0.01,0.21,1.7365
0.01,0.22,1.7335
0.01,0.23,1.66675
0.01,0.24,1.7280000000000002
0.01,0.25,1.6765
0.01,0.26,1.66825
0.01,0.27,1.6447499999999997
0.01,0.28,1.6162500000000002
0.01,0.29,1.627
0.01,0.3,1.57975
0.01,0.31,1.591
0.01,0.32,1.5574999999999999
0.01,0.33,1.5357499999999997
0.01,0.34,1.49375
0.01,0.35000000000000003,1.4945000000000002
0.01,0.36,1.494
0.01,0.37,1.47275
0.01,0.38,1.43275
0.01,0.39,1.4402500000000003
0.01,0.4,1.4125
0.01,0.41000000000000003,1.43025
0.01,0.42,1.3795000000000002
0.01,0.43,1.41275
0.01,0.44,1.3687500000000001
0.01,0.45,1.3597500000000005
0.01,0.46,1.33025
0.01,0.47000000000000003,1.3435000000000001
0.01,0.48,1.31725
0.01,0.49,1.2807499999999998
0.01,0.5,1.2475
0.01,0.51,1.2414999999999998
0.01,0.52,1.2565
0.01,0.53,1.2247499999999998
0.01,0.54,1.2365
0.01,0.55,1.1860000000000002
0.01,0.56,1.1997500000000003
0.01,0.5700000000000001,1.1749999999999998
0.01,0.58,1.1590000000000003
0.01,0.59,1.145
0.01,0.6,1.1344999999999998
0.01,0.61,1.1079999999999999
0.01,0.62,1.1105
0.01,0.63,1.0704999999999998
0.01,0.64,1.0485000000000002
0.01,0.65,1.052
0.01,0.66,0.982
0.01,0.67,1.0147499999999998
0.01,0.68,1.00725
0.01,0.6900000000000001,0.9925000000000003
0.01,0.7000000000000001,0.97325
0.01,0.71,0.9295
0.01,0.72,0.9734999999999999
0.01,0.73,0.9157500000000001
0.01,0.74,0.92125
0.01,0.75,0.8977499999999999
0.01,0.76,0.8707499999999999
0.01,0.77,0.8714999999999999
0.01,0.78,0.837
0.01,0.79,0.8377500000000001
0.01,0.8,0.8242499999999999
0.01,0.81,0.80175
0.01,0.8200000000000001,0.76425
0.01,0.8300000000000001,0.7842499999999999
0.01,0.84,0.7434999999999998
0.01,0.85,0.7537499999999999
0.01,0.86,0.7377499999999999
0.01,0.87,0.7289999999999999
0.01,0.88,0.6900000000000001
0.01,0.89,0.674
0.01,0.9,0.66625
0.01,0.91,0.6565
0.01,0.92,0.6487499999999999
0.01,0.93,0.61175
0.01,0.9400000000000001,0.5820000000000001
0.01,0.9500000000000001,0.5769999999999998
0.01,0.96,0.575
0.01,0.97,0.5650000000000001
0.01,0.98,0.558
0.01,0.99,0.5329999999999999
0.01,1.0,0.5190000000000001
0.02,0.0,3.0
0.02,0.01,2.74875
0.02,0.02,2.6735
0.02,0.03,2.3747499999999997
0.02,0.04,2.246
0.02,0.05,2.2115
0.02,0.06,2.2355000000000005
0.02,0.07,2.111
0.02,0.08,2.0305
0.02,0.09,2.0375
0.02,0.1,2.0004999999999997
0.02,0.11,1.9035
0.02,0.12,1.951
0.02,0.13,1.8969999999999998
0.02,0.14,1.91975
0.02,0.15,1.90675
0.02,0.16,1.8552500000000003
0.02,0.17,1.85425
0.02,0.18,1.8094999999999999
0.02,0.19,1.8127499999999999
0.02,0.2,1.7587499999999998
0.02,0.21,1.7537499999999997
0.02,0.22,1.73825
0.02,0.23,1.6950000000000003
0.02,0.24,1.722
0.02,0.25,1.6817500000000003
0.02,0.26,1.6900000000000002
0.02,0.27,1.6585
0.02,0.28,1.6304999999999996
0.02,0.29,1.6404999999999998
0.02,0.3,1.58825
0.02,0.31,1.5915000000000001
0.02,0.32,1.5759999999999998
0.02,0.33,1.5659999999999998
0.02,0.34,1.5364999999999998
0.02,0.35000000000000003,1.5062499999999999
0.02,0.36,1.51975
0.02,0.37,1.4735
0.02,0.38,1.4762500000000003
0.02,0.39,1.45475
0.02,0.4,1.4204999999999999
0.02,0.41000000000000003,1.43725
0.02,0.42,1.3942499999999998
0.02,0.43,1.40425
0.02,0.44,1.3895000000000002
0.02,0.45,1.3747500000000001
0.02,0.46,1.3962500000000002
0.02,0.47000000000000003,1.35375
0.02,0.48,1.3317500000000002
0.02,0.49,1.3142500000000001
0.02,0.5,1.2864999999999998
0.02,0.51,1.286
0.02,0.52,1.26875
0.02,0.53,1.2527500000000003
0.02,0.54,1.2109999999999999
0.02,0.55,1.2155
0.02,0.56,1.237
0.02,0.5700000000000001,1.181
0.02,0.58,1.202
0.02,0.59,1.176
0.02,0.6,1.1467500000000002
0.02,0.61,1.1395
0.02,0.62,1.0932499999999998
0.02,0.63,1.09125
0.02,0.64,1.0885000000000002
0.02,0.65,1.07
0.02,0.66,1.0545
0.02,0.67,1.0369999999999997
0.02,0.68,1.01225
0.02,0.6900000000000001,1.0130000000000001
0.02,0.7000000000000001,1.01275
0.02,0.71,0.9949999999999998
0.02,0.72,0.9730000000000001
0.02,0.73,0.9515
0.02,0.74,0.9362499999999999
0.02,0.75,0.8782500000000001
0.02,0.76,0.90625
0.02,0.77,0.8852500000000001
0.02,0.78,0.8714999999999999
0.02,0.79,0.8484999999999999
0.02,0.8,0.8422499999999999
0.02,0.81,0.8412499999999999
0.02,0.8200000000000001,0.79725
0.02,0.8300000000000001,0.7954999999999999
0.02,0.84,0.772
0.02,0.85,0.7775000000000001
0.02,0.86,0.74675
0.02,0.87,0.7387499999999999
0.02,0.88,0.7202500000000002
0.02,0.89,0.69825
0.02,0.9,0.68875
0.02,0.91,0.6815
0.02,0.92,0.65875
0.02,0.93,0.6255000000000001
0.02,0.9400000000000001,0.6319999999999999
0.02,0.9500000000000001,0.6257499999999999
0.02,0.96,0.6017499999999999
