x,y,score
0.46,0.76,2.09955
0.54,0.86,2.12285
0.16,0.19,1.9723
0.61,0.18,2.8247
0.82,0.41,2.70325
0.72,0.66,2.4327
0.63,0.37,2.6117
0.41,0.28,2.4798
0.16,0.44,1.6896
0.8,0.33,2.7807
0.84,0.23,2.90335
0.25,0.48,1.92475
0.62,0.7,2.3207
0.78,0.28,2.8257
0.03,0.68,1.12385
0.57,0.0,3.09975
0.69,0.37,2.65195
0.46,0.05,2.9283
0.65,0.03,3.07685
0.56,0.8,2.19525
0.28,0.44,2.03315
0.65,0.0,3.12275
0.57,0.1,2.91705
0.44,0.29,2.5138
0.63,0.49,2.49865
0.26,0.03,2.691
0.92,0.27,2.8808
0.69,0.35,2.6758
0.79,0.78,2.4228
0.3,0.26,2.29515
0.98,0.54,2.70005
0.25,0.62,1.82055
0.55,0.43,2.478
0.19,0.06,2.42545
0.14,0.65,1.50675
0.09,0.65,1.33175
0.92,1.0,2.3806
0.51,0.43,2.4441
0.36,0.66,2.0069
0.33,0.92,1.8157
0.01,0.93,0.99865
0.25,0.81,1.7202
0.9,0.46,2.70515
0.3,0.12,2.57025
0.87,0.59,2.5922
0.8,0.75,2.4526
0.93,0.2,2.9654
0.34,0.41,2.19145
0.05,0.48,1.24565
0.9,0.12,3.0326
0.59,0.65,2.3169
0.72,0.62,2.46725
0.29,0.87,1.76265
0.02,0.72,1.07585
0.8,0.35,2.75605
0.09,0.22,1.6005
0.05,0.61,1.209
0.49,0.38,2.44975
0.62,0.21,2.8
0.79,0.55,2.57495
0.64,0.52,2.484
0.17,0.15,2.1135
0.45,0.81,2.05035
0.48,0.8,2.10145
0.51,0.39,2.4827
0.62,0.39,2.57585
0.58,0.64,2.3163
0.8,0.62,2.5312
0.6,0.07,2.9897
0.35,0.87,1.87895
0.85,0.83,2.42365
0.96,0.89,2.4578
0.68,0.4,2.61555
0.13,0.15,1.9115
0.14,0.31,1.7043
0.15,0.88,1.4493
0.72,0.97,2.2495
0.56,0.33,2.58975
0.52,0.26,2.65905
0.99,0.97,2.42165
0.9,0.63,2.6036
0.31,0.47,2.081
0.98,0.8,2.514
0.31,0.34,2.22655
0.22,0.4,1.93155
0.87,0.37,2.78905
0.76,0.43,2.65265
0.79,0.76,2.4145
0.83,0.38,2.73135
0.74,0.12,2.9825
0.68,0.51,2.5237
0.56,0.43,2.48515
0.63,0.01,3.1036
0.45,0.24,2.5647
0.52,0.13,2.83325
0.64,0.47,2.5141
0.51,0.91,2.05925
0.78,0.92,2.3095
0.92,0.54,2.65865
0.75,0.83,2.35745
0.72,0.5,2.57015
0.53,0.74,2.2099
0.82,0.88,2.36885
0.63,0.35,2.65375
0.8,0.56,2.57075
0.99,0.8,2.5109
0.69,0.67,2.3928
0.44,0.43,2.3469
0.71,0.62,2.45235
0.63,0.08,2.99555
0.48,0.4,2.41275
0.93,0.51,2.6857
0.65,0.12,2.9354
0.78,0.34,2.7597
0.17,0.41,1.73755
0.59,0.93,2.1594
0.98,0.65,2.6229
0.89,0.49,2.6912
0.09,0.48,1.4098
0.98,0.94,2.4154
0.6,0.72,2.29145
0.74,0.48,2.59545
0.48,0.19,2.69015
0.15,0.11,2.06235
0.86,0.55,2.59855
0.97,0.56,2.67585
1.0,0.64,2.6317
0.43,0.66,2.1301
0.85,0.2,2.92655
0.02,0.64,1.09755
0.26,0.02,2.73525
0.12,0.68,1.43
0.66,0.15,2.90525
0.75,0.58,2.52995
0.04,0.92,1.1059
0.15,0.58,1.55765
0.4,0.84,1.9755
0.94,0.97,2.40975
0.64,0.08,2.99415
0.08,0.63,1.3086
0.81,0.9,2.342
0.21,0.79,1.62635
0.21,0.13,2.26745
0.82,0.12,3.0065
0.77,0.84,2.3558
0.76,0.89,2.30615
0.06,0.34,1.37005
0.92,0.45,2.73085
0.41,0.87,1.9579
0.11,0.48,1.4965
0.67,0.53,2.4908
0.36,0.88,1.89005
0.47,0.6,2.21185
0.34,0.03,2.86685
0.79,0.95,2.29865
0.24,0.56,1.84005
0.17,0.32,1.8492
0.59,0.26,2.69205
0.59,0.68,2.31195
1.0,0.57,2.66955
0.63,0.84,2.23975
0.72,0.58,2.49795
0.84,0.68,2.50445
0.07,0.87,1.2164
0.71,0.48,2.5773
0.27,0.76,1.78165
0.2,0.43,1.8193
0.25,0.83,1.71055
0.74,0.97,2.2573
0.56,0.06,2.9848
0.77,0.18,2.91665
0.61,0.23,2.761
0.73,0.56,2.52685
0.4,0.67,2.0693
0.93,0.15,3.0081
0.37,0.3,2.39065
0.89,0.6,2.5932
0.32,0.92,1.7804
0.97,0.95,2.43345
0.96,0.12,3.0439
0.74,0.25,2.82405
0.47,0.92,2.0179
0.13,0.43,1.58475
0.8,0.68,2.48215
0.01,0.53,1.07595
0.69,0.03,3.09515
0.73,0.82,2.3426
0.97,0.94,2.4408
0.9,1.0,2.3548
0.08,0.23,1.55635
0.82,0.79,2.426
0.42,0.46,2.2844
0.62,0.93,2.18605
0.71,0.43,2.6168
0.77,0.04,3.1025
0.97,0.53,2.6887
0.73,0.22,2.84415
0.59,0.14,2.88465
0.5,0.81,2.1185
0.4,1.0,1.89565
0.89,0.12,3.03865
0.05,0.83,1.1621
0.19,0.67,1.6482
0.97,0.93,2.4351
0.69,0.2,2.8436
0.72,0.64,2.4575
0.94,0.47,2.7223
0.81,0.73,2.44595
0.5,0.86,2.08895
0.15,0.5,1.60995
0.45,0.28,2.51555
0.48,0.93,2.01885
0.15,0.25,1.8194
0.32,0.14,2.55825
0.62,0.38,2.58005
0.48,0.51,2.3107
0.61,0.92,2.176
0.34,0.82,1.8866
0.39,0.43,2.24325
0.89,0.11,3.05035
0.67,0.3,2.71675
0.15,0.26,1.81905
0.72,0.21,2.8585
0.57,0.41,2.5088
0.01,0.09,1.3625
0.55,0.84,2.1577
0.85,0.24,2.8793
0.53,0.07,2.93925
0.81,0.85,2.38465
0.65,0.79,2.28735
0.08,0.01,2.00485
0.62,0.24,2.74445
0.28,0.85,1.7537
0.12,0.31,1.66675
0.04,0.88,1.11515
0.25,0.42,1.968
0.29,0.34,2.1684
0.12,0.75,1.3935
0.16,0.7,1.5472
0.9,0.47,2.7043
0.65,0.01,3.10755
0.44,0.94,1.96225
0.38,0.39,2.2804
0.95,0.84,2.46945
0.31,0.48,2.06715
0.45,0.92,1.99455
0.08,0.35,1.44265
0.68,0.89,2.25495
0.99,1.0,2.41235
0.61,0.37,2.6
0.02,0.96,1.0272
0.94,0.0,3.17495
0.71,0.78,2.34415
0.09,0.02,2.0452
0.46,0.16,2.7245
0.3,0.07,2.66295
0.94,0.83,2.4837
0.25,0.01,2.77525
0.78,0.53,2.57815
0.24,0.45,1.9271
0.1,0.82,1.31245
0.27,0.33,2.12075
0.89,0.17,2.9796
0.5,0.19,2.7178
0.12,0.89,1.35545
0.57,0.07,2.968
0.85,0.58,2.59835
0.03,0.67,1.1263
0.79,0.05,3.0905
0.18,0.3,1.89
0.66,0.43,2.5798
0.41,0.6,2.142
0.52,0.47,2.40825
0.53,0.05,2.98615
0.51,0.93,2.0602
0.8,0.32,2.78605
0.91,0.77,2.48815
0.57,0.84,2.1875
0.65,0.7,2.34065
0.6,0.23,2.7495
0.11,0.82,1.35405
0.46,1.0,1.9677
0.71,0.57,2.4918
0.28,0.08,2.6148
0.2,0.19,2.1176
0.82,0.03,3.12455
0.9,0.83,2.4425
0.68,0.02,3.0993
0.1,0.34,1.5272
0.97,0.02,3.16645
0.27,0.01,2.7798
0.84,0.82,2.4237
0.99,0.61,2.6488
0.18,0.48,1.72085
0.18,0.73,1.5902
0.79,0.15,2.95855
0.77,0.93,2.30285
0.58,0.8,2.20415
0.18,0.95,1.51045
0.21,0.71,1.6904
0.98,0.62,2.6418
0.23,0.97,1.601
0.06,0.16,1.5352
0.53,0.36,2.5301
0.97,0.86,2.4886
0.26,0.42,1.9944
0.81,0.43,2.67745
0.2,0.12,2.2717
0.1,0.57,1.42345
0.15,0.35,1.7374
0.89,0.02,3.1493
0.51,0.7,2.19825
0.57,0.27,2.68525
0.11,0.19,1.7331
0.69,0.41,2.6193
0.68,0.83,2.29315
0.97,0.34,2.8411
0.36,0.11,2.6823
0.53,0.1,2.88595
0.19,0.47,1.785
0.81,0.31,2.79775
0.66,0.86,2.25335
0.93,0.77,2.506
0.82,0.05,3.10985
0.88,0.94,2.3808
0.33,0.39,2.204
0.1,0.68,1.38475
0.84,0.95,2.34885
0.29,0.54,1.9618
0.96,0.41,2.78215
0.89,0.67,2.5333
0.91,0.12,3.0375
0.31,0.86,1.80085
0.11,0.2,1.7256
0.06,0.77,1.2019
0.89,0.59,2.60265
0.01,0.38,1.1352
0.18,0.09,2.2804
0.2,0.72,1.6474
0.56,0.89,2.13135
0.19,0.48,1.7647
0.33,0.63,1.98725
0.86,0.41,2.7226
0.51,0.19,2.7326
0.35,0.08,2.74965
0.51,0.69,2.2103
0.68,0.91,2.2379
0.78,0.73,2.43615
0.65,0.68,2.35775
0.4,0.44,2.27965
0.02,0.27,1.22305
0.3,0.89,1.7703
0.87,0.99,2.34585
0.95,0.8,2.5142
0.58,0.76,2.24165
0.71,0.86,2.2991
0.44,0.13,2.7306
0.48,0.0,3.0577
0.57,0.63,2.317
0.59,0.25,2.71855
0.95,0.45,2.73835
0.12,0.04,2.13345
0.21,0.3,1.9583
0.57,0.31,2.6274
0.26,0.94,1.6878
0.55,0.82,2.18835
0.73,0.83,2.31505
0.94,0.28,2.87985
0.74,0.14,2.96375
0.03,0.55,1.15585
0.28,0.81,1.7834
0.22,0.76,1.6613
0.26,0.45,1.97555
0.15,0.41,1.66195
0.85,0.02,3.1408
0.18,0.19,2.0288
0.11,0.09,1.9239
0.34,0.74,1.92875
0.99,0.67,2.60385
0.74,0.85,2.3161
0.91,0.29,2.8705
0.12,0.41,1.57245
0.17,0.03,2.42155
0.06,0.47,1.3008
0.88,0.68,2.54055
0.68,0.19,2.86715
0.44,0.59,2.1877
0.64,0.56,2.44695
0.17,0.24,1.92325
0.56,0.65,2.296
0.63,0.48,2.51585
0.08,0.2,1.5892
0.24,0.82,1.68615
0.99,0.37,2.8355
0.89,0.42,2.744
0.38,0.47,2.18925
0.68,0.22,2.81805
0.2,0.25,2.02725
0.27,0.27,2.20425
0.1,0.01,2.1139
0.41,0.8,1.99675
0.38,0.04,2.88145
0.69,0.98,2.19125
