x,y,score
0.46,0.76,2.52
0.54,0.86,2.54
0.16,0.19,1.77
0.61,0.18,2.94
0.82,0.41,2.99
0.72,0.66,2.78
0.63,0.37,2.88
0.41,0.28,2.535
0.16,0.44,1.56
0.8,0.33,3.005
0.84,0.23,2.985
0.25,0.48,2.04
0.62,0.7,2.65
0.78,0.28,3.005
0.03,0.68,1.135
0.57,0.0,3.0
0.69,0.37,2.985
0.46,0.05,2.95
0.65,0.03,3.035
0.56,0.8,2.625
0.28,0.44,2.09
0.65,0.0,3.0
0.57,0.1,2.945
0.44,0.29,2.625
0.63,0.49,2.875
0.26,0.03,2.77
0.92,0.27,3.09
0.69,0.35,2.95
0.79,0.78,2.82
0.3,0.26,2.115
0.98,0.54,3.04
0.25,0.62,1.675
0.55,0.43,2.705
0.19,0.06,1.695
0.14,0.65,1.485
0.09,0.65,1.38
0.92,1.0,2.755
0.51,0.43,2.645
0.36,0.66,2.14
0.33,0.92,1.975
0.01,0.93,0.995
0.25,0.81,1.76
0.9,0.46,2.99
0.3,0.12,2.37
0.87,0.59,2.92
0.8,0.75,2.825
0.93,0.2,3.05
0.34,0.41,2.305
0.05,0.48,1.315
0.9,0.12,3.055
0.59,0.65,2.65
0.72,0.62,2.895
0.29,0.87,1.78
0.02,0.72,1.085
0.8,0.35,3.035
0.09,0.22,1.41
0.05,0.61,1.295
0.49,0.38,2.645
0.62,0.21,2.945
0.79,0.55,2.92
0.64,0.52,2.865
0.17,0.15,1.77
0.45,0.81,2.325
0.48,0.8,2.49
0.51,0.39,2.685
0.62,0.39,2.77
0.58,0.64,2.635
0.8,0.62,2.865
0.6,0.07,2.975
0.35,0.87,2.11
0.85,0.83,2.81
0.96,0.89,2.855
0.68,0.4,2.865
0.13,0.15,1.595
0.14,0.31,1.615
0.15,0.88,1.495
0.72,0.97,2.615
0.56,0.33,2.585
0.52,0.26,2.895
0.99,0.97,2.805
0.9,0.63,2.935
0.31,0.47,2.195
0.98,0.8,2.915
0.31,0.34,2.17
0.22,0.4,1.975
0.87,0.37,2.985
0.76,0.43,2.96
0.79,0.76,2.78
0.83,0.38,3.04
0.74,0.12,3.06
0.68,0.51,2.84
0.56,0.43,2.75
0.63,0.01,2.97
0.45,0.24,2.62
0.52,0.13,2.94
0.64,0.47,2.855
0.51,0.91,2.445
0.78,0.92,2.715
0.92,0.54,3.0
0.75,0.83,2.725
0.72,0.5,2.94
0.53,0.74,2.575
0.82,0.88,2.75
0.63,0.35,2.88
0.8,0.56,2.89
0.99,0.8,2.88
0.69,0.67,2.765
0.44,0.43,2.535
0.71,0.62,2.775
0.63,0.08,3.02
0.48,0.4,2.76
0.93,0.51,2.995
0.65,0.12,3.04
0.78,0.34,3.06
0.17,0.41,1.605
0.59,0.93,2.55
0.98,0.65,2.91
0.89,0.49,2.945
0.09,0.48,1.475
0.98,0.94,2.8
0.6,0.72,2.64
0.74,0.48,2.89
0.48,0.19,2.825
0.15,0.11,1.795
0.86,0.55,2.91
0.97,0.56,2.945
1.0,0.64,2.94
0.43,0.66,2.39
0.85,0.2,3.09
0.02,0.64,1.095
0.26,0.02,2.395
0.12,0.68,1.525
0.66,0.15,2.945
0.75,0.58,2.83
0.04,0.92,1.135
0.15,0.58,1.585
0.4,0.84,2.115
0.94,0.97,2.745
0.64,0.08,3.02
0.08,0.63,1.415
0.81,0.9,2.72
0.21,0.79,1.725
0.21,0.13,2.04
0.82,0.12,3.065
0.77,0.84,2.8
0.76,0.89,2.715
0.06,0.34,1.275
0.92,0.45,2.95
0.41,0.87,2.245
0.11,0.48,1.525
0.67,0.53,2.845
0.36,0.88,2.22
0.47,0.6,2.425
0.34,0.03,2.715
0.79,0.95,2.64
0.24,0.56,1.77
0.17,0.32,1.715
0.59,0.26,2.82
0.59,0.68,2.695
1.0,0.57,3.01
0.63,0.84,2.68
0.72,0.58,2.815
0.84,0.68,2.835
0.07,0.87,1.36
0.71,0.48,2.895
0.27,0.76,1.93
0.2,0.43,1.89
0.25,0.83,1.845
0.74,0.97,2.74
0.56,0.06,3.0
0.77,0.18,3.05
0.61,0.23,2.9
0.73,0.56,2.835
0.4,0.67,2.325
0.93,0.15,3.05
0.37,0.3,2.37
0.89,0.6,2.905
0.32,0.92,2.035
0.97,0.95,2.8
0.96,0.12,3.055
0.74,0.25,2.94
0.47,0.92,2.495
0.13,0.43,1.57
0.8,0.68,2.845
0.01,0.53,1.035
0.69,0.03,3.0
0.73,0.82,2.6
0.97,0.94,2.755
0.9,1.0,2.755
0.08,0.23,1.385
0.82,0.79,2.885
0.42,0.46,2.49
0.62,0.93,2.565
0.71,0.43,2.855
0.77,0.04,2.995
0.97,0.53,2.955
0.73,0.22,3.005
0.59,0.14,2.97
0.5,0.81,2.485
0.4,1.0,2.105
0.89,0.12,3.055
0.05,0.83,1.255
0.19,0.67,1.64
0.97,0.93,2.805
0.69,0.2,2.88
0.72,0.64,2.775
0.94,0.47,2.945
0.81,0.73,2.895
0.5,0.86,2.48
0.15,0.5,1.57
0.45,0.28,2.78
0.48,0.93,2.56
0.15,0.25,1.685
0.32,0.14,2.57
0.62,0.38,2.9
0.48,0.51,2.65
0.61,0.92,2.545
0.34,0.82,2.125
0.39,0.43,2.34
0.89,0.11,3.06
0.67,0.3,2.945
0.15,0.26,1.72
0.72,0.21,3.045
0.57,0.41,2.865
0.01,0.09,1.125
0.55,0.84,2.495
0.85,0.24,3.02
0.53,0.07,2.86
0.81,0.85,2.795
0.65,0.79,2.705
0.08,0.01,1.9
0.62,0.24,2.79
0.28,0.85,1.965
0.12,0.31,1.605
0.04,0.88,1.135
0.25,0.42,1.97
0.29,0.34,2.175
0.12,0.75,1.585
0.16,0.7,1.525
0.9,0.47,3.05
0.65,0.01,3.01
0.44,0.94,2.38
0.38,0.39,2.63
0.95,0.84,2.815
0.31,0.48,2.195
0.45,0.92,2.295
0.08,0.35,1.365
0.68,0.89,2.675
0.99,1.0,2.78
0.61,0.37,2.785
0.02,0.96,1.195
0.94,0.0,3.0
0.71,0.78,2.725
0.09,0.02,1.53
0.46,0.16,2.755
0.3,0.07,2.485
0.94,0.83,2.805
0.25,0.01,3.0
0.78,0.53,2.91
0.24,0.45,2.03
0.1,0.82,1.37
0.27,0.33,2.28
0.89,0.17,3.04
0.5,0.19,2.83
0.12,0.89,1.595
0.57,0.07,3.025
0.85,0.58,2.865
0.03,0.67,1.155
0.79,0.05,3.04
0.18,0.3,1.87
0.66,0.43,2.765
0.41,0.6,2.435
0.52,0.47,2.505
0.53,0.05,2.87
0.51,0.93,2.445
0.8,0.32,2.99
0.91,0.77,2.855
0.57,0.84,2.605
0.65,0.7,2.625
0.6,0.23,2.935
0.11,0.82,1.415
0.46,1.0,2.38
0.71,0.57,2.835
0.28,0.08,2.27
0.2,0.19,1.885
0.82,0.03,3.05
0.9,0.83,2.82
0.68,0.02,3.015
0.1,0.34,1.435
0.97,0.02,3.025
0.27,0.01,2.98
0.84,0.82,2.84
0.99,0.61,2.96
0.18,0.48,1.69
0.18,0.73,1.57
0.79,0.15,3.02
0.77,0.93,2.745
0.58,0.8,2.535
0.18,0.95,1.665
0.21,0.71,1.93
0.98,0.62,2.98
0.23,0.97,1.93
0.06,0.16,1.475
0.53,0.36,2.71
0.97,0.86,2.805
0.26,0.42,2.12
0.81,0.43,2.965
0.2,0.12,2.155
0.1,0.57,1.455
0.15,0.35,1.505
0.89,0.02,3.005
0.51,0.7,2.35
0.57,0.27,2.94
0.11,0.19,1.85
0.69,0.41,2.89
0.68,0.83,2.63
0.97,0.34,3.105
0.36,0.11,2.28
0.53,0.1,2.905
0.19,0.47,1.76
0.81,0.31,3.055
0.66,0.86,2.64
0.93,0.77,2.875
0.82,0.05,3.055
0.88,0.94,2.795
0.33,0.39,2.325
0.1,0.68,1.32
0.84,0.95,2.73
0.29,0.54,2.01
0.96,0.41,3.0
0.89,0.67,2.92
0.91,0.12,3.065
0.31,0.86,1.945
0.11,0.2,1.53
0.06,0.77,1.16
0.89,0.59,3.015
0.01,0.38,1.115
0.18,0.09,1.79
0.2,0.72,1.645
0.56,0.89,2.595
0.19,0.48,1.69
0.33,0.63,2.325
0.86,0.41,2.925
0.51,0.19,2.76
0.35,0.08,2.525
0.51,0.69,2.565
0.68,0.91,2.71
0.78,0.73,2.755
0.65,0.68,2.8
0.4,0.44,2.47
0.02,0.27,1.095
0.3,0.89,1.815
0.87,0.99,2.775
0.95,0.8,2.905
0.58,0.76,2.635
0.71,0.86,2.615
0.44,0.13,2.885
0.48,0.0,3.0
0.57,0.63,2.595
0.59,0.25,2.8
0.95,0.45,3.035
0.12,0.04,1.935
0.21,0.3,2.03
0.57,0.31,2.86
0.26,0.94,1.875
0.55,0.82,2.62
0.73,0.83,2.71
0.94,0.28,3.085
0.74,0.14,3.015
0.03,0.55,1.115
0.28,0.81,1.98
0.22,0.76,1.745
0.26,0.45,2.21
0.15,0.41,1.65
0.85,0.02,3.025
0.18,0.19,1.955
0.11,0.09,1.545
0.34,0.74,2.125
0.99,0.67,2.945
0.74,0.85,2.685
0.91,0.29,3.09
0.12,0.41,1.545
0.17,0.03,2.09
0.06,0.47,1.165
0.88,0.68,2.9
0.68,0.19,3.0
0.44,0.59,2.45
0.64,0.56,2.905
0.17,0.24,1.63
0.56,0.65,2.64
0.63,0.48,2.79
0.08,0.2,1.43
0.24,0.82,1.945
0.99,0.37,3.055
0.89,0.42,2.995
0.38,0.47,2.445
0.68,0.22,3.04
0.2,0.25,1.925
0.27,0.27,2.185
0.1,0.01,2.565
0.41,0.8,2.445
0.38,0.04,2.8
0.69,0.98,2.635
0.59,0.96,2.47
0.18,0.21,1.64
0.11,0.97,1.385
0.03,0.82,1.105
0.52,0.89,2.6
0.75,0.97,2.725
0.17,0.87,1.69
0.87,0.48,2.955
0.03,0.44,1.165
0.33,0.44,2.27
0.76,0.32,2.925
0.73,0.5,2.865
0.26,0.28,2.015
0.36,0.29,2.44
0.28,0.11,2.475
0.0,0.23,1.025
0.87,0.0,3.0
0.26,0.61,2.03
1.0,0.5,2.96
0.35,0.61,2.355
0.02,0.33,1.085
0.52,0.76,2.56
0.06,0.97,1.205
0.98,0.06,3.065
0.13,0.17,1.52
0.24,0.64,1.855
0.35,0.14,2.58
0.11,0.94,1.435
0.76,0.77,2.815
0.67,0.45,2.89
0.09,0.51,1.365
0.99,0.31,3.03
0.07,0.89,1.235
0.65,0.43,3.0
0.85,0.19,3.1
0.91,0.58,2.94
0.48,0.56,2.535
0.66,0.06,3.055
0.18,0.38,1.75
0.56,0.64,2.64
0.72,0.43,2.915
0.64,0.11,3.01
0.38,0.45,2.45
0.42,0.25,2.705
1.0,0.63,2.905
0.35,0.26,2.645
0.03,0.18,1.205
0.27,0.91,1.875
0.8,0.26,3.04
0.15,0.31,1.59
0.89,0.44,3.055
0.61,0.87,2.605
0.31,0.61,2.195
0.72,0.45,2.95
0.0,0.6,0.995
0.98,0.82,2.905
0.25,0.27,1.995
0.4,0.57,2.39
0.15,0.38,1.625
0.6,0.2,2.95
0.77,0.12,3.05
0.52,0.15,2.755
0.65,0.41,2.87
0.35,0.6,2.155
0.93,0.29,3.02
0.61,0.43,2.815
0.45,0.63,2.58
0.08,0.68,1.35
0.89,0.37,2.98
0.59,0.08,2.925
0.1,0.38,1.42
0.83,0.8,2.775
0.02,0.69,1.035
0.68,0.41,2.92
0.22,0.48,1.965
0.92,0.65,2.91
0.77,1.0,2.665
0.68,0.81,2.625
0.11,0.26,1.555
0.21,0.21,2.175
0.84,0.37,2.99
0.37,0.63,2.27
0.61,0.85,2.625
0.23,0.77,1.9
0.65,0.66,2.855
0.71,0.07,3.015
0.33,0.68,1.94
0.74,0.0,3.0
0.01,0.48,1.075
0.71,0.35,2.945
0.96,0.32,3.07
0.51,0.1,2.86
0.75,0.73,2.765
0.48,0.85,2.415
0.98,0.42,3.015
0.19,0.88,1.635
0.11,0.77,1.49
0.9,0.32,3.055
0.87,1.0,2.705
0.56,0.7,2.75
0.11,0.27,1.6
0.02,0.88,1.065
0.77,0.66,2.895
0.8,0.8,2.73
0.98,0.11,3.08
0.75,0.33,3.025
0.71,0.74,2.81
0.3,0.3,2.12
0.74,0.01,3.02
0.38,0.86,2.315
0.18,0.75,1.575
0.91,0.55,2.9
0.33,0.87,2.04
0.18,0.61,1.67
0.34,0.01,3.0
0.09,0.94,1.255
0.63,0.97,2.71
0.04,0.07,1.365
0.86,0.22,3.08
0.0,0.89,0.995
0.72,0.11,3.065
0.82,0.64,2.88
0.9,0.41,2.995
0.42,0.72,2.2
0.63,0.7,2.74
1.0,0.58,2.97
0.77,0.56,2.88
0.15,0.79,1.505
0.69,0.57,2.76
0.65,0.67,2.8
0.62,0.73,2.695
0.53,0.63,2.67
0.1,0.96,1.335
0.52,0.86,2.325
0.29,0.51,2.105
0.73,0.85,2.72
0.84,0.28,3.025
0.21,0.76,1.685
0.33,0.61,2.185
0.62,0.04,3.03
0.98,0.59,2.985
0.23,0.23,2.04
0.14,0.78,1.575
0.88,0.61,2.995
0.23,0.41,1.875
0.78,0.15,3.025
0.55,0.33,2.755
0.79,0.01,3.015
0.89,0.3,3.09
0.69,0.16,3.075
0.87,0.17,3.085
0.66,0.16,3.02
0.98,0.18,3.09
0.54,0.36,2.735
0.54,0.37,2.81
0.83,0.07,3.05
0.07,0.62,1.235
0.01,0.77,1.095
0.48,0.12,2.935
0.52,0.35,2.8
0.36,0.13,2.455
0.23,0.73,1.755
0.32,0.02,2.705
0.94,0.4,3.005
0.13,0.19,1.445
0.05,0.14,1.235
0.67,0.87,2.595
0.79,0.74,2.82
0.12,0.23,1.83
0.22,0.8,1.835
0.36,0.96,1.945
0.38,0.91,2.23
0.19,0.03,2.1
0.12,0.91,1.41
0.85,0.78,2.855
0.29,0.57,2.065
0.12,0.84,1.45
0.75,0.08,3.075
0.77,0.9,2.705
0.25,0.39,1.805
0.58,0.19,2.98
0.53,0.54,2.435
0.4,0.98,2.265
0.12,0.74,1.36
0.33,0.7,2.34
0.4,0.45,2.44
0.76,0.2,3.065
0.34,0.47,2.245
0.2,0.29,1.87
0.3,0.99,1.99
0.54,0.42,2.82
0.11,0.72,1.41
0.86,0.56,2.91
0.48,0.52,2.47
0.27,0.31,2.175
0.59,0.02,3.01
0.43,0.45,2.525
0.36,0.48,2.465
0.19,0.37,1.79
0.19,0.5,1.705
0.04,0.76,1.095
0.5,0.23,2.76
0.92,0.28,3.045
0.93,0.11,3.08
0.24,0.66,1.87
0.33,0.69,2.195
0.17,0.52,1.66
0.1,0.16,1.395
0.55,0.24,2.775
0.64,0.55,2.835
0.38,0.15,2.63
0.66,0.94,2.465
0.16,0.31,1.6
0.49,0.66,2.46
0.84,0.27,3.1
0.68,0.47,2.81
0.74,0.34,3.02
0.15,0.1,1.795
0.85,0.96,2.755
0.64,0.31,2.845
0.76,0.01,3.01
0.74,0.83,2.79
0.21,0.51,1.98
0.84,0.9,2.775
0.97,0.11,3.08
0.83,0.6,2.95
0.7,0.9,2.685
0.97,0.69,2.935
0.41,0.2,2.755
0.02,0.09,1.205
0.95,0.36,3.025
0.17,1.0,1.59
0.43,0.86,2.385
0.61,0.13,3.02
0.08,0.53,1.225
0.3,0.34,2.095
0.76,0.02,3.005
0.57,0.91,2.57
0.14,0.56,1.425
0.31,0.7,2.14
0.22,0.2,1.805
0.26,0.36,2.165
0.54,0.97,2.545
0.34,0.57,2.225
0.17,0.89,1.67
0.7,0.55,2.81
0.07,0.14,1.355
0.32,0.9,2.1
0.23,0.08,2.085
0.45,0.16,2.625
0.08,0.32,1.395
0.5,0.97,2.41
0.37,1.0,2.255
0.34,0.0,3.0
0.47,0.88,2.49
0.9,0.82,2.825
0.83,0.67,2.855
0.01,0.87,1.035
0.49,0.31,2.82
0.69,0.89,2.705
0.5,0.1,2.775
0.98,0.83,2.85
0.71,0.91,2.705
0.95,0.18,3.06
0.25,0.33,1.95
0.29,0.16,2.52
0.27,0.66,2.12
0.77,0.21,3.07
0.13,0.46,1.635
0.42,0.82,2.305
0.39,0.19,2.41
0.95,0.76,2.915
0.75,0.8,2.735
0.05,0.67,1.155
0.24,0.53,1.855
0.79,0.25,3.07
0.62,0.88,2.615
0.19,0.54,1.7
0.25,0.72,1.88
0.85,0.85,2.825
0.58,0.15,2.83
0.18,0.37,1.725
0.18,0.32,1.77
0.44,0.77,2.43
0.0,0.26,1.005
0.79,0.81,2.815
0.25,0.28,2.25
0.72,0.63,2.95
0.86,0.52,2.94
0.33,0.46,2.46
0.46,0.74,2.335
0.78,0.22,3.03
0.0,0.22,1.075
0.36,0.1,2.3
0.61,0.94,2.495
0.97,0.87,2.87
0.07,0.24,1.275
0.64,0.94,2.53
0.64,0.07,3.01
0.43,0.56,2.395
0.56,0.83,2.58
0.33,0.86,1.87
1.0,0.87,2.845
0.45,0.44,2.635
0.38,0.84,2.265
0.83,0.45,2.975
0.71,0.14,3.03
0.57,0.61,2.575
0.63,0.16,3.03
0.02,0.15,1.065
0.89,0.26,3.065
0.69,0.58,2.86
0.88,0.07,3.045
0.36,0.05,2.76
0.49,0.21,2.815
0.06,0.81,1.275
0.83,0.06,3.03
0.37,0.56,2.425
0.73,0.11,3.05
0.66,0.42,2.78
0.65,0.54,2.775
0.81,0.51,2.87
0.39,0.68,2.385
0.66,0.69,2.685
0.74,0.41,2.91
0.09,0.67,1.385
0.65,0.16,2.99
0.84,0.99,2.715
0.95,0.99,2.785
0.82,0.13,3.06
0.85,0.87,2.81
0.53,0.7,2.535
0.88,0.39,3.025
0.15,0.13,1.505
0.42,0.43,2.56
0.86,0.9,2.745
0.41,0.42,2.395
0.2,0.02,2.245
0.33,0.41,2.025
0.64,0.86,2.69
0.45,0.75,2.515
0.14,0.3,1.505
0.0,0.62,0.995
