x,y,score
0.46,0.76,2.7179
0.54,0.86,2.7791
0.16,0.19,2.3935
0.61,0.18,2.4533
0.82,0.41,1.8245
0.72,0.66,2.17495
0.63,0.37,1.93365
0.41,0.28,2.22515
0.16,0.44,1.6692
0.8,0.33,2.02835
0.84,0.23,2.31265
0.25,0.48,1.90785
0.62,0.7,2.4566
0.78,0.28,2.17085
0.03,0.68,1.11805
0.57,0.0,3.0
0.69,0.37,1.92815
0.46,0.05,2.85275
0.65,0.03,2.90955
0.56,0.8,2.69425
0.28,0.44,1.9781
0.65,0.0,3.0
0.57,0.1,2.6892
0.44,0.29,2.2082
0.63,0.49,1.8327
0.26,0.03,2.9094
0.92,0.27,2.20695
0.69,0.35,1.9793
0.79,0.78,2.28275
0.3,0.26,2.22795
0.98,0.54,1.7224
0.25,0.62,1.98505
0.55,0.43,1.92615
0.19,0.06,2.82225
0.14,0.65,1.5396
0.09,0.65,1.3525
0.92,1.0,2.33195
0.51,0.43,2.0107
0.36,0.66,2.3894
0.33,0.92,2.26565
0.01,0.93,1.02885
0.25,0.81,1.95785
0.9,0.46,1.71755
0.3,0.12,2.63065
0.87,0.59,1.8672
0.8,0.75,2.21445
0.93,0.2,2.4056
0.34,0.41,2.02795
0.05,0.48,1.25385
0.9,0.12,2.64055
0.59,0.65,2.43925
0.72,0.62,2.0768
0.29,0.87,2.1162
0.02,0.72,1.07995
0.8,0.35,1.97565
0.09,0.22,2.1193
0.05,0.61,1.1948
0.49,0.38,1.97685
0.62,0.21,2.3754
0.79,0.55,1.8183
0.64,0.52,1.8861
0.17,0.15,2.5013
0.45,0.81,2.7192
0.48,0.8,2.7608
0.51,0.39,2.03955
0.62,0.39,1.8916
0.58,0.64,2.42555
0.8,0.62,1.9865
0.6,0.07,2.78875
0.35,0.87,2.3355
0.85,0.83,2.2607
0.96,0.89,2.21115
0.68,0.4,1.8579
0.13,0.15,2.4874
0.14,0.31,1.93005
0.15,0.88,1.58165
0.72,0.97,2.54995
0.56,0.33,2.06645
0.52,0.26,2.23525
0.99,0.97,2.2515
0.9,0.63,1.93
0.31,0.47,2.0879
0.98,0.8,2.1158
0.31,0.34,2.0896
0.22,0.4,1.8457
0.87,0.37,1.9124
0.76,0.43,1.7841
0.79,0.76,2.26165
0.83,0.38,1.8942
0.74,0.12,2.65105
0.68,0.51,1.7934
0.56,0.43,1.86245
0.63,0.01,2.96865
0.45,0.24,2.31975
0.52,0.13,2.6247
0.64,0.47,1.83765
0.51,0.91,2.8142
0.78,0.92,2.43095
0.92,0.54,1.74995
0.75,0.83,2.39155
0.72,0.5,1.7883
0.53,0.74,2.71655
0.82,0.88,2.34685
0.63,0.35,1.98935
0.8,0.56,1.83795
0.99,0.8,2.1063
0.69,0.67,2.24115
0.44,0.43,2.1258
0.71,0.62,2.09835
0.63,0.08,2.76435
0.48,0.4,2.12035
0.93,0.51,1.6866
0.65,0.12,2.6312
0.78,0.34,1.99905
0.17,0.41,1.71235
0.59,0.93,2.7321
0.98,0.65,1.9093
0.89,0.49,1.71245
0.09,0.48,1.4021
0.98,0.94,2.2387
0.6,0.72,2.5318
0.74,0.48,1.7408
0.48,0.19,2.4436
0.15,0.11,2.644
0.86,0.55,1.77385
0.97,0.56,1.7511
1.0,0.64,1.88365
0.43,0.66,2.63055
0.85,0.2,2.40205
0.02,0.64,1.08965
0.26,0.02,2.9373
0.12,0.68,1.46845
0.66,0.15,2.56875
0.75,0.58,1.9329
0.04,0.92,1.14715
0.15,0.58,1.58595
0.4,0.84,2.553
0.94,0.97,2.293
0.64,0.08,2.7675
0.08,0.63,1.3218
0.81,0.9,2.3748
0.21,0.79,1.82015
0.21,0.13,2.5851
0.82,0.12,2.6442
0.77,0.84,2.3695
0.76,0.89,2.43015
0.06,0.34,1.5919
0.92,0.45,1.7356
0.41,0.87,2.5895
0.11,0.48,1.4729
0.67,0.53,1.88505
0.36,0.88,2.3919
0.47,0.6,2.6451
0.34,0.03,2.9098
0.79,0.95,2.4438
0.24,0.56,1.9373
0.17,0.32,1.888
0.59,0.26,2.23955
0.59,0.68,2.51505
1.0,0.57,1.7537
