x,y,score
0.46,0.76,1.63535
0.54,0.86,1.4244
0.16,0.19,2.21635
0.61,0.18,2.9919
0.82,0.41,3.028
0.72,0.66,2.3996
0.63,0.37,2.7192
0.41,0.28,2.48995
0.16,0.44,1.74805
0.8,0.33,3.10625
0.84,0.23,3.3253
0.25,0.48,1.8405
0.62,0.7,2.09175
0.78,0.28,3.15075
0.03,0.68,1.1072
0.57,0.0,3.30275
0.69,0.37,2.8322
0.46,0.05,3.0263
0.65,0.03,3.3634
0.56,0.8,1.7046
0.28,0.44,1.96765
0.65,0.0,3.4189
0.57,0.1,3.0889
0.44,0.29,2.5105
0.63,0.49,2.52685
0.26,0.03,2.8212
0.92,0.27,3.46515
0.69,0.35,2.8654
0.79,0.78,2.3434
0.3,0.26,2.3381
0.98,0.54,3.28835
0.25,0.62,1.63835
0.55,0.43,2.43615
0.19,0.06,2.63605
0.14,0.65,1.3933
0.09,0.65,1.2826
0.92,1.0,0.4747
0.51,0.43,2.37735
0.36,0.66,1.7364
0.33,0.92,0.8458
0.01,0.93,0.93785
0.25,0.81,1.20175
0.9,0.46,3.15935
0.3,0.12,2.6461
0.87,0.59,2.8868
0.8,0.75,2.38905
0.93,0.2,3.5831
0.34,0.41,2.1357
0.05,0.48,1.32315
0.9,0.12,3.6209
0.59,0.65,2.13875
0.72,0.62,2.48025
0.29,0.87,1.03875
0.02,0.72,1.0623
0.8,0.35,3.0689
0.09,0.22,1.84725
0.05,0.61,1.20995
0.49,0.38,2.4461
0.62,0.21,2.97115
0.79,0.55,2.74005
0.64,0.52,2.49285
0.17,0.15,2.32065
0.45,0.81,1.50855
0.48,0.8,1.5361
0.51,0.39,2.44975
0.62,0.39,2.671
0.58,0.64,2.13785
0.8,0.62,2.65895
0.6,0.07,3.1803
0.35,0.87,1.0942
0.85,0.83,2.3689
0.96,0.89,2.7403
0.68,0.4,2.7861
0.13,0.15,2.1855
0.14,0.31,1.89195
0.15,0.88,0.95235
0.72,0.97,0.82225
0.56,0.33,2.66435
0.52,0.26,2.7073
0.99,0.97,2.7699
0.9,0.63,2.9445
0.31,0.47,1.95175
0.98,0.8,3.0048
0.31,0.34,2.2231
0.22,0.4,1.94045
0.87,0.37,3.19485
0.76,0.43,2.8812
0.79,0.76,2.32925
0.83,0.38,3.09725
