x,y,score
0.46,0.76,2.42815
0.54,0.86,2.5059
0.16,0.19,1.69655
0.61,0.18,2.958
0.82,0.41,2.97615
0.72,0.66,2.80115
0.63,0.37,2.87245
0.41,0.28,2.54065
0.16,0.44,1.6595
0.8,0.33,3.0106
0.84,0.23,3.05065
0.25,0.48,1.99815
0.62,0.7,2.67365
0.78,0.28,3.0143
0.03,0.68,1.12385
0.57,0.0,3.00965
0.69,0.37,2.91675
0.46,0.05,2.8663
0.65,0.03,3.01795
0.56,0.8,2.54765
0.28,0.44,2.07505
0.65,0.0,3.01175
0.57,0.1,2.96195
0.44,0.29,2.61675
0.63,0.49,2.81695
0.26,0.03,2.40285
0.92,0.27,3.05785
0.69,0.35,2.9356
0.79,0.78,2.78345
0.3,0.26,2.2505
0.98,0.54,2.9686
0.25,0.62,1.94095
0.55,0.43,2.74455
0.19,0.06,1.9368
0.14,0.65,1.5444
0.09,0.65,1.36045
0.92,1.0,2.75315
0.51,0.43,2.66845
0.36,0.66,2.2574
0.33,0.92,2.06975
0.01,0.93,1.03875
0.25,0.81,1.89195
0.9,0.46,2.9872
0.3,0.12,2.3379
0.87,0.59,2.9143
0.8,0.75,2.8054
0.93,0.2,3.07215
0.34,0.41,2.2844
0.05,0.48,1.2169
0.9,0.12,3.06905
0.59,0.65,2.67915
0.72,0.62,2.81795
0.29,0.87,2.0011
0.02,0.72,1.081
0.8,0.35,2.99775
0.09,0.22,1.4123
0.05,0.61,1.19645
0.49,0.38,2.65505
0.62,0.21,2.9463
0.79,0.55,2.8937
0.64,0.52,2.7947
0.17,0.15,1.7641
0.45,0.81,2.38315
0.48,0.8,2.4262
0.51,0.39,2.7114
0.62,0.39,2.84835
0.58,0.64,2.6725
0.8,0.62,2.87295
0.6,0.07,2.9942
0.35,0.87,2.15115
0.85,0.83,2.7946
0.96,0.89,2.81595
0.68,0.4,2.90165
0.13,0.15,1.58775
0.14,0.31,1.6037
0.15,0.88,1.5624
0.72,0.97,2.6527
0.56,0.33,2.80595
0.52,0.26,2.79345
0.99,0.97,2.79195
0.9,0.63,2.9133
0.31,0.47,2.2032
0.98,0.8,2.86405
0.31,0.34,2.2581
0.22,0.4,1.90115
0.87,0.37,3.0143
0.76,0.43,2.93115
0.79,0.76,2.7879
0.83,0.38,2.9994
0.74,0.12,3.04315
0.68,0.51,2.83335
0.56,0.43,2.73935
0.63,0.01,3.0129
0.45,0.24,2.6838
0.52,0.13,2.88835
0.64,0.47,2.81775
0.51,0.91,2.45105
0.78,0.92,2.7155
0.92,0.54,2.9634
0.75,0.83,2.7402
0.72,0.5,2.88435
0.53,0.74,2.5421
0.82,0.88,2.75795
0.63,0.35,2.87325
0.8,0.56,2.9032
0.99,0.8,2.8652
0.69,0.67,2.7727
0.44,0.43,2.5382
0.71,0.62,2.80985
0.63,0.08,3.01225
0.48,0.4,2.62655
0.93,0.51,2.9724
0.65,0.12,3.00435
0.78,0.34,2.99485
0.17,0.41,1.7163
0.59,0.93,2.54315
0.98,0.65,2.9274
0.89,0.49,2.96405
0.09,0.48,1.37285
0.98,0.94,2.7991
0.6,0.72,2.6658
0.74,0.48,2.90405
0.48,0.19,2.75955
0.15,0.11,1.6691
0.86,0.55,2.934
0.97,0.56,2.9643
1.0,0.64,2.93325
0.43,0.66,2.4109
0.85,0.2,3.0608
0.02,0.64,1.0915
0.26,0.02,2.4679
0.12,0.68,1.46845
0.66,0.15,3.0081
0.75,0.58,2.8594
0.04,0.92,1.15435
0.15,0.58,1.5968
0.4,0.84,2.27835
0.94,0.97,2.77685
0.64,0.08,3.0128
0.08,0.63,1.32725
0.81,0.9,2.7452
0.21,0.79,1.7868
0.21,0.13,1.94605
0.82,0.12,3.06695
0.77,0.84,2.745
0.76,0.89,2.71805
0.06,0.34,1.26255
0.92,0.45,2.99925
0.41,0.87,2.2934
0.11,0.48,1.4497
0.67,0.53,2.82145
0.36,0.88,2.17075
0.47,0.6,2.50575
0.34,0.03,2.68215
0.79,0.95,2.7086
0.24,0.56,1.92965
0.17,0.32,1.73445
0.59,0.26,2.8912
0.59,0.68,2.65975
1.0,0.57,2.96425
0.63,0.84,2.6286
0.72,0.58,2.84315
0.84,0.68,2.86385
0.07,0.87,1.27655
0.71,0.48,2.8787
0.27,0.76,1.98625
0.2,0.43,1.82355
0.25,0.83,1.8847
0.74,0.97,2.66455
0.56,0.06,2.96235
0.77,0.18,3.04495
0.61,0.23,2.92645
0.73,0.56,2.86745
0.4,0.67,2.33805
0.93,0.15,3.0745
0.37,0.3,2.42585
0.89,0.6,2.9216
0.32,0.92,2.0742
0.97,0.95,2.79385
0.96,0.12,3.0724
0.74,0.25,3.01145
0.47,0.92,2.39365
0.13,0.43,1.54735
0.8,0.68,2.84195
0.01,0.53,1.06045
0.69,0.03,3.0251
0.73,0.82,2.732
0.97,0.94,2.7957
0.9,1.0,2.7443
0.08,0.23,1.34365
0.82,0.79,2.8046
0.42,0.46,2.491
0.62,0.93,2.5806
0.71,0.43,2.90595
0.77,0.04,3.04145
0.97,0.53,2.9774
0.73,0.22,3.0106
0.59,0.14,2.9542
0.5,0.81,2.4817
0.4,1.0,2.22865
0.89,0.12,3.06775
0.05,0.83,1.19905
0.19,0.67,1.72145
0.97,0.93,2.80155
0.69,0.2,3.01365
0.72,0.64,2.81165
0.94,0.47,2.99075
0.81,0.73,2.8249
0.5,0.86,2.4461
0.15,0.5,1.60775
0.45,0.28,2.65865
0.48,0.93,2.39395
0.15,0.25,1.63005
0.32,0.14,2.3845
0.62,0.38,2.86205
0.48,0.51,2.57745
0.61,0.92,2.57455
0.34,0.82,2.1327
0.39,0.43,2.42445
0.89,0.11,3.06355
0.67,0.3,2.9396
0.15,0.26,1.62825
0.72,0.21,3.01245
0.57,0.41,2.7754
0.01,0.09,1.0784
0.55,0.84,2.53905
0.85,0.24,3.0549
0.53,0.07,2.93975
0.81,0.85,2.76195
0.65,0.79,2.6783
0.08,0.01,1.5046
0.62,0.24,2.93545
0.28,0.85,1.9749
0.12,0.31,1.5188
0.04,0.88,1.15665
0.25,0.42,2.0153
0.29,0.34,2.15425
0.12,0.75,1.46415
0.16,0.7,1.63875
0.9,0.47,2.97825
0.65,0.01,3.0198
0.44,0.94,2.321
0.38,0.39,2.39735
0.95,0.84,2.83555
0.31,0.48,2.1999
0.45,0.92,2.34175
0.08,0.35,1.3354
0.68,0.89,2.6486
0.99,1.0,2.7752
0.61,0.37,2.8538
0.02,0.96,1.07765
0.94,0.0,3.01035
0.71,0.78,2.7264
0.09,0.02,1.5216
0.46,0.16,2.755
0.3,0.07,2.45665
0.94,0.83,2.8312
0.25,0.01,2.5801
0.78,0.53,2.903
0.24,0.45,1.96115
0.1,0.82,1.4004
0.27,0.33,2.1088
0.89,0.17,3.06605
0.5,0.19,2.79895
0.12,0.89,1.45335
0.57,0.07,2.98465
0.85,0.58,2.91635
0.03,0.67,1.12325
0.79,0.05,3.04455
0.18,0.3,1.78155
0.66,0.43,2.8734
0.41,0.6,2.3856
0.52,0.47,2.6632
0.53,0.05,2.9608
0.51,0.93,2.4263
0.8,0.32,3.00575
0.91,0.77,2.85545
0.57,0.84,2.56585
0.65,0.7,2.70055
0.6,0.23,2.90835
0.11,0.82,1.43115
0.46,1.0,2.33155
0.71,0.57,2.83105
0.28,0.08,2.34415
0.2,0.19,1.88905
0.82,0.03,3.03575
0.9,0.83,2.81535
0.68,0.02,3.0239
0.1,0.34,1.4318
0.97,0.02,3.0257
0.27,0.01,2.69175
0.84,0.82,2.7936
0.99,0.61,2.94675
0.18,0.48,1.7532
0.18,0.73,1.69185
0.79,0.15,3.0528
0.77,0.93,2.70375
0.58,0.8,2.58575
0.18,0.95,1.6572
0.21,0.71,1.791
0.98,0.62,2.9425
0.23,0.97,1.8264
0.06,0.16,1.28445
0.53,0.36,2.7545
0.97,0.86,2.83175
0.26,0.42,2.0482
0.81,0.43,2.968
0.2,0.12,1.92335
0.1,0.57,1.4114
0.15,0.35,1.6319
0.89,0.02,3.02935
0.51,0.7,2.54435
0.57,0.27,2.8556
0.11,0.19,1.4809
