x,y,score
0.46,0.76,0.9069
0.54,0.86,0.6762
0.16,0.19,2.4023
0.61,0.18,2.5737
0.82,0.41,2.0029
0.72,0.66,1.27925
0.63,0.37,2.0677
0.41,0.28,2.2399
0.16,0.44,1.70645
0.8,0.33,2.2269
0.84,0.23,2.49405
0.25,0.48,1.6059
0.62,0.7,1.11935
0.78,0.28,2.35185
0.03,0.68,0.99805
0.57,0.0,3.06805
0.69,0.37,2.06915
0.46,0.05,2.88545
0.65,0.03,3.0119
0.56,0.8,0.8333
0.28,0.44,1.73835
0.65,0.0,3.09275
0.57,0.1,2.78285
0.44,0.29,2.206
0.63,0.49,1.7115
0.26,0.03,2.8913
0.92,0.27,2.4378
0.69,0.35,2.1552
0.79,0.78,0.968
0.3,0.26,2.2621
0.98,0.54,1.68095
0.25,0.62,1.2228
0.55,0.43,1.85555
0.19,0.06,2.78105
0.14,0.65,1.1251
0.09,0.65,1.08225
0.92,1.0,0.3835
0.51,0.43,1.8346
0.36,0.66,1.16515
0.33,0.92,0.4322
0.01,0.93,0.2987
0.25,0.81,0.696
0.9,0.46,1.8761
0.3,0.12,2.6531
0.87,0.59,1.51725
0.8,0.75,1.06555
0.93,0.2,2.63165
0.34,0.41,1.8409
0.05,0.48,1.56725
0.9,0.12,2.83135
0.59,0.65,1.26165
0.72,0.62,1.3854
0.29,0.87,0.5483
0.02,0.72,0.89985
0.8,0.35,2.16485
0.09,0.22,2.30455
0.05,0.61,1.21
0.49,0.38,1.96695
0.62,0.21,2.50145
0.79,0.55,1.6035
0.64,0.52,1.643
0.17,0.15,2.50925
0.45,0.81,0.78575
0.48,0.8,0.81255
0.51,0.39,1.9623
0.62,0.39,2.01185
0.58,0.64,1.2835
0.8,0.62,1.41155
0.6,0.07,2.89035
0.35,0.87,0.57335
0.85,0.83,0.8348
0.96,0.89,0.71265
0.68,0.4,1.96875
0.13,0.15,2.5141
0.14,0.31,2.0908
0.15,0.88,0.48305
0.72,0.97,0.3991
0.56,0.33,2.12335
0.52,0.26,2.3386
0.99,0.97,0.48335
0.9,0.63,1.42375
0.31,0.47,1.6947
0.98,0.8,0.96635
0.31,0.34,2.0531
0.22,0.4,1.82225
0.87,0.37,2.1133
0.76,0.43,1.9213
0.79,0.76,1.03185
0.83,0.38,2.1026
0.74,0.12,2.79555
0.68,0.51,1.69725
0.56,0.43,1.84025
0.63,0.01,3.0556
0.45,0.24,2.35955
0.52,0.13,2.69635
0.64,0.47,1.76495
0.51,0.91,0.50325
0.78,0.92,0.58225
0.92,0.54,1.6666
0.75,0.83,0.7923
0.72,0.5,1.7165
0.53,0.74,0.98915
0.82,0.88,0.6882
0.63,0.35,2.09035
0.8,0.56,1.5788
0.99,0.8,0.9541
0.69,0.67,1.25785
0.44,0.43,1.81205
0.71,0.62,1.38265
0.63,0.08,2.85905
0.48,0.4,1.92845
0.93,0.51,1.76085
0.65,0.12,2.7514
0.78,0.34,2.18685
0.17,0.41,1.78855
0.59,0.93,0.46975
0.98,0.65,1.3837
0.89,0.49,1.7949
0.09,0.48,1.6031
0.98,0.94,0.6035
0.6,0.72,1.06715
0.74,0.48,1.77355
0.48,0.19,2.5033
0.15,0.11,2.6239
0.86,0.55,1.63275
0.97,0.56,1.63705
1.0,0.64,1.4115
0.43,0.66,1.186
0.85,0.2,2.58765
0.02,0.64,1.1153
0.26,0.02,2.9159
0.12,0.68,1.0384
0.66,0.15,2.6634
0.75,0.58,1.50365
0.04,0.92,0.3424
0.15,0.58,1.32975
0.4,0.84,0.67635
0.94,0.97,0.4903
0.64,0.08,2.87395
0.08,0.63,1.1375
0.81,0.9,0.62715
0.21,0.79,0.756
0.21,0.13,2.59085
0.82,0.12,2.8165
0.77,0.84,0.78395
0.76,0.89,0.64175
0.06,0.34,1.9556
0.92,0.45,1.91405
0.41,0.87,0.5835
0.11,0.48,1.5931
0.67,0.53,1.62355
0.36,0.88,0.5584
0.47,0.6,1.35035
