x,y,score
0.46,0.76,2.2111
0.54,0.86,2.3629
0.16,0.19,1.9735
0.61,0.18,3.1694
0.82,0.41,3.5056
0.72,0.66,3.01435
0.63,0.37,3.0673
0.41,0.28,2.55125
0.16,0.44,1.7078
0.8,0.33,3.49915
0.84,0.23,3.7076
0.25,0.48,1.9426
0.62,0.7,2.69855
0.78,0.28,3.5032
0.03,0.68,1.1342
0.57,0.0,3.24995
0.69,0.37,3.2218
0.46,0.05,2.91735
0.65,0.03,3.41165
0.56,0.8,2.45655
0.28,0.44,2.0334
0.65,0.0,3.4633
0.57,0.1,3.1551
0.44,0.29,2.6123
0.63,0.49,2.91495
0.26,0.03,2.43825
0.92,0.27,3.88715
0.69,0.35,3.22835
0.79,0.78,3.0919
0.3,0.26,2.30955
0.98,0.54,3.79095
0.25,0.62,1.78835
0.55,0.43,2.7722
0.19,0.06,2.22185
0.14,0.65,1.4688
0.09,0.65,1.3426
0.92,1.0,3.2326
0.51,0.43,2.6577
0.36,0.66,2.0527
0.33,0.92,1.7415
0.01,0.93,0.85695
0.25,0.81,1.61965
0.9,0.46,3.64805
0.3,0.12,2.45095
0.87,0.59,3.4584
0.8,0.75,3.1164
0.93,0.2,3.9869
0.34,0.41,2.22885
0.05,0.48,1.3611
0.9,0.12,3.97295
0.59,0.65,2.6814
0.72,0.62,3.0504
0.29,0.87,1.6686
0.02,0.72,1.0682
0.8,0.35,3.4964
0.09,0.22,1.73875
0.05,0.61,1.2452
0.49,0.38,2.6733
0.62,0.21,3.1853
0.79,0.55,3.28875
0.64,0.52,2.9414
0.17,0.15,2.0676
0.45,0.81,2.17535
0.48,0.8,2.2328
0.51,0.39,2.73705
0.62,0.39,2.9853
0.58,0.64,2.6607
0.8,0.62,3.2671
0.6,0.07,3.2512
0.35,0.87,1.83875
0.85,0.83,3.2022
0.96,0.89,3.4128
0.68,0.4,3.1678
0.13,0.15,1.95405
0.14,0.31,1.79995
0.15,0.88,1.2858
0.72,0.97,2.73375
0.56,0.33,2.8852
0.52,0.26,2.86915
0.99,0.97,3.42595
0.9,0.63,3.5087
0.31,0.47,2.10755
0.98,0.8,3.54535
0.31,0.34,2.23795
0.22,0.4,1.93015
0.87,0.37,3.67555
0.76,0.43,3.29495
0.79,0.76,3.1005
0.83,0.38,3.5593
0.74,0.12,3.5664
0.68,0.51,3.0417
0.56,0.43,2.7706
0.63,0.01,3.41045
0.45,0.24,2.70105
0.52,0.13,2.99545
0.64,0.47,2.9822
0.51,0.91,2.2256
0.78,0.92,2.94565
0.92,0.54,3.62485
0.75,0.83,2.92075
0.72,0.5,3.1712
0.53,0.74,2.43205
0.82,0.88,3.06025
0.63,0.35,3.08975
0.8,0.56,3.2871
0.99,0.8,3.5672
0.69,0.67,2.94125
0.44,0.43,2.473
0.71,0.62,3.01225
0.63,0.08,3.34145
0.48,0.4,2.6443
0.93,0.51,3.6968
0.65,0.12,3.322
0.78,0.34,3.4602
0.17,0.41,1.78015
0.59,0.93,2.44055
0.98,0.65,3.70335
0.89,0.49,3.60665
0.09,0.48,1.49095
0.98,0.94,3.4185
0.6,0.72,2.6308
0.74,0.48,3.23825
0.48,0.19,2.8168
0.15,0.11,2.03385
0.86,0.55,3.48725
0.97,0.56,3.72815
1.0,0.64,3.76405
0.43,0.66,2.25785
0.85,0.2,3.77075
0.02,0.64,1.1388
0.26,0.02,2.4627
0.12,0.68,1.3969
0.66,0.15,3.3504
0.75,0.58,3.154
0.04,0.92,0.95045
0.15,0.58,1.56455
0.4,0.84,2.01635
0.94,0.97,3.2906
0.64,0.08,3.3686
0.08,0.63,1.32385
0.81,0.9,3.021
0.21,0.79,1.51935
0.21,0.13,2.19915
0.82,0.12,3.75415
0.77,0.84,2.95585
0.76,0.89,2.9001
0.06,0.34,1.5301
0.92,0.45,3.7205
0.41,0.87,2.01115
0.11,0.48,1.52975
0.67,0.53,3.00385
0.36,0.88,1.8663
0.47,0.6,2.4137
0.34,0.03,2.6426
0.79,0.95,2.9475
0.24,0.56,1.834
0.17,0.32,1.86305
0.59,0.26,3.037
0.59,0.68,2.6443
1.0,0.57,3.8013
0.63,0.84,2.60155
0.72,0.58,3.07865
0.84,0.68,3.30035
0.07,0.87,1.06935
0.71,0.48,3.13935
0.27,0.76,1.73905
0.2,0.43,1.8502
0.25,0.83,1.5887
0.74,0.97,2.80605
0.56,0.06,3.16925
0.77,0.18,3.60115
0.61,0.23,3.12255
0.73,0.56,3.10855
0.4,0.67,2.1522
0.93,0.15,4.0192
0.37,0.3,2.41075
0.89,0.6,3.5336
0.32,0.92,1.715
0.97,0.95,3.38275
0.96,0.12,4.1264
0.74,0.25,3.43705
0.47,0.92,2.098
0.13,0.43,1.6616
0.8,0.68,3.17615
0.01,0.53,1.2098
0.69,0.03,3.5365
0.73,0.82,2.89105
0.97,0.94,3.40985
0.9,1.0,3.1859
0.08,0.23,1.7
0.82,0.79,3.1523
0.42,0.46,2.40625
0.62,0.93,2.51725
0.71,0.43,3.193
0.77,0.04,3.699
0.97,0.53,3.7702
0.73,0.22,3.4387
0.59,0.14,3.1697
0.5,0.81,2.26775
0.4,1.0,1.8612
0.89,0.12,3.95675
0.05,0.83,1.05305
0.19,0.67,1.581
0.97,0.93,3.4001
0.69,0.2,3.3753
0.72,0.64,3.0268
0.94,0.47,3.75875
0.81,0.73,3.16375
0.5,0.86,2.2276
0.15,0.5,1.63185
0.45,0.28,2.6612
0.48,0.93,2.1266
0.15,0.25,1.88355
0.32,0.14,2.4521
0.62,0.38,3.0142
0.48,0.51,2.5066
0.61,0.92,2.48275
0.34,0.82,1.83575
0.39,0.43,2.3451
0.89,0.11,3.96565
0.67,0.3,3.2176
0.15,0.26,1.85665
0.72,0.21,3.43355
0.57,0.41,2.86315
0.01,0.09,1.69405
0.55,0.84,2.3742
0.85,0.24,3.7181
0.53,0.07,3.09645
0.81,0.85,3.0504
0.65,0.79,2.7011
0.08,0.01,1.99035
0.62,0.24,3.15335
0.28,0.85,1.6605
0.12,0.31,1.7205
0.04,0.88,0.98
0.25,0.42,1.9998
0.29,0.34,2.19575
0.12,0.75,1.31865
0.16,0.7,1.4991
0.9,0.47,3.65625
0.65,0.01,3.4463
0.44,0.94,2.01665
0.38,0.39,2.3538
0.95,0.84,3.46445
0.31,0.48,2.1103
0.45,0.92,2.0657
0.08,0.35,1.59105
0.68,0.89,2.68295
0.99,1.0,3.4069
0.61,0.37,2.97095
0.02,0.96,0.85525
0.94,0.0,4.192
0.71,0.78,2.87475
0.09,0.02,2.00235
0.46,0.16,2.80315
0.3,0.07,2.515
0.94,0.83,3.43485
0.25,0.01,2.43905
0.78,0.53,3.28085
0.24,0.45,1.93305
0.1,0.82,1.1976
0.27,0.33,2.1119
0.89,0.17,3.8971
0.5,0.19,2.88005
0.12,0.89,1.1917
0.57,0.07,3.1779
0.85,0.58,3.4072
0.03,0.67,1.13735
0.79,0.05,3.76635
0.18,0.3,1.92955
0.66,0.43,3.0666
0.41,0.6,2.2484
0.52,0.47,2.67045
0.53,0.05,3.09015
0.51,0.93,2.19995
0.8,0.32,3.50925
0.91,0.77,3.39915
0.57,0.84,2.45755
0.65,0.7,2.77235
0.6,0.23,3.1104
0.11,0.82,1.23755
0.46,1.0,2.03155
0.71,0.57,3.0583
0.28,0.08,2.4409
0.2,0.19,2.0879
0.82,0.03,3.84535
0.9,0.83,3.3167
0.68,0.02,3.51255
0.1,0.34,1.63995
0.97,0.02,4.23955
0.27,0.01,2.47725
0.84,0.82,3.16835
0.99,0.61,3.7578
0.18,0.48,1.75565
0.18,0.73,1.51285
0.79,0.15,3.66555
0.77,0.93,2.86215
0.58,0.8,2.48745
0.18,0.95,1.2986
0.21,0.71,1.5852
0.98,0.62,3.7157
0.23,0.97,1.42545
0.06,0.16,1.7415
0.53,0.36,2.8044
0.97,0.86,3.4558
0.26,0.42,2.0195
0.81,0.43,3.4498
0.2,0.12,2.17835
0.1,0.57,1.435
0.15,0.35,1.7763
0.89,0.02,4.0465
0.51,0.7,2.41575
0.57,0.27,2.98195
0.11,0.19,1.84005
0.69,0.41,3.15205
0.68,0.83,2.7476
0.97,0.34,3.95135
0.36,0.11,2.627
0.53,0.1,3.05735
0.19,0.47,1.7799
0.81,0.31,3.5796
0.66,0.86,2.68305
0.93,0.77,3.4783
0.82,0.05,3.84835
0.88,0.94,3.16465
0.33,0.39,2.23145
0.1,0.68,1.33925
0.84,0.95,3.06395
0.29,0.54,1.95275
0.96,0.41,3.85065
0.89,0.67,3.4468
0.91,0.12,4.0067
0.31,0.86,1.72735
0.11,0.2,1.83925
0.06,0.77,1.13985
0.89,0.59,3.5006
0.01,0.38,1.3379
0.18,0.09,2.15945
0.2,0.72,1.56235
0.56,0.89,2.4158
0.19,0.48,1.7777
0.33,0.63,2.0182
0.86,0.41,3.58235
0.51,0.19,2.9303
0.35,0.08,2.61725
0.51,0.69,2.3873
0.68,0.91,2.66605
0.78,0.73,3.1131
0.65,0.68,2.8
0.4,0.44,2.38085
0.02,0.27,1.48605
0.3,0.89,1.6627
0.87,0.99,3.1006
0.95,0.8,3.4457
0.58,0.76,2.5498
0.71,0.86,2.8047
0.44,0.13,2.77085
0.48,0.0,3.0222
0.57,0.63,2.65735
0.59,0.25,3.029
0.95,0.45,3.80765
0.12,0.04,2.04695
0.21,0.3,1.9836
0.57,0.31,2.95465
0.26,0.94,1.53505
0.55,0.82,2.4184
0.73,0.83,2.88475
0.94,0.28,3.9444
0.74,0.14,3.54775
0.03,0.55,1.24685
0.28,0.81,1.71265
0.22,0.76,1.59325
0.26,0.45,1.99355
0.15,0.41,1.72295
0.85,0.02,3.94745
0.18,0.19,2.04915
0.11,0.09,1.95835
0.34,0.74,1.9084
0.99,0.67,3.6752
0.74,0.85,2.88375
0.91,0.29,3.8475
0.12,0.41,1.6271
0.17,0.03,2.2118
0.06,0.47,1.4085
0.88,0.68,3.3925
0.68,0.19,3.329
0.44,0.59,2.32285
0.64,0.56,2.9056
0.17,0.24,1.95705
0.56,0.65,2.5859
0.63,0.48,2.93105
0.08,0.2,1.74135
0.24,0.82,1.58375
0.99,0.37,3.9748
0.89,0.42,3.66645
0.38,0.47,2.2843
0.68,0.22,3.31455
0.2,0.25,2.03735
0.27,0.27,2.1638
0.1,0.01,2.04335
0.41,0.8,2.08025
0.38,0.04,2.73675
0.69,0.98,2.66075
0.59,0.96,2.40485
0.18,0.21,2.02355
0.11,0.97,1.1044
0.03,0.82,1.0114
0.52,0.89,2.26265
0.75,0.97,2.79115
0.17,0.87,1.36115
0.87,0.48,3.5687
0.03,0.44,1.35175
0.33,0.44,2.1766
0.76,0.32,3.4456
0.73,0.5,3.1739
0.26,0.28,2.1607
0.36,0.29,2.41245
0.28,0.11,2.38215
0.0,0.23,1.48025
0.87,0.0,4.0162
0.26,0.61,1.8382
1.0,0.5,3.87335
0.35,0.61,2.0782
0.02,0.33,1.43015
0.52,0.76,2.379
0.06,0.97,0.9667
0.98,0.06,4.23265
0.13,0.17,1.91325
0.24,0.64,1.7628
0.35,0.14,2.53445
0.11,0.94,1.1228
0.76,0.77,3.02135
0.67,0.45,3.0787
0.09,0.51,1.44775
0.99,0.31,4.0295
0.07,0.89,1.0592
0.65,0.43,3.0274
0.85,0.19,3.7926
0.91,0.58,3.5985
0.48,0.56,2.46115
0.66,0.06,3.43985
0.18,0.38,1.83515
0.56,0.64,2.5891
0.72,0.43,3.2372
0.64,0.11,3.32525
0.38,0.45,2.2945
0.42,0.25,2.60455
1.0,0.63,3.77675
0.35,0.26,2.44615
0.03,0.18,1.62385
0.27,0.91,1.57895
0.8,0.26,3.5697
0.15,0.31,1.8141
0.89,0.44,3.63705
0.61,0.87,2.53255
0.31,0.61,1.9687
0.72,0.45,3.2178
0.0,0.6,1.11695
0.98,0.82,3.5238
0.25,0.27,2.1291
0.4,0.57,2.23415
0.15,0.38,1.7536
0.6,0.2,3.11565
0.77,0.12,3.65215
0.52,0.15,2.97795
0.65,0.41,3.0706
0.35,0.6,2.09385
0.93,0.29,3.89445
0.61,0.43,2.9691
0.45,0.63,2.32615
0.08,0.68,1.2695
0.89,0.37,3.7196
0.59,0.08,3.2271
0.1,0.38,1.61265
0.83,0.8,3.1631
0.02,0.69,1.0849
0.68,0.41,3.1659
0.22,0.48,1.8306
0.92,0.65,3.54635
0.77,1.0,2.823
0.68,0.81,2.78395
0.11,0.26,1.7634
0.21,0.21,2.0846
0.84,0.37,3.59115
0.37,0.63,2.09765
0.61,0.85,2.5582
0.23,0.77,1.6138
0.65,0.66,2.83335
0.71,0.07,3.5385
0.33,0.68,1.94815
0.74,0.0,3.6855
0.01,0.48,1.2659
0.71,0.35,3.2637
0.96,0.32,3.9353
0.51,0.1,3.0262
0.75,0.73,3.02175
0.48,0.85,2.203
0.98,0.42,3.89115
0.19,0.88,1.39215
0.11,0.77,1.2802
0.9,0.32,3.78085
0.87,1.0,3.0755
0.56,0.7,2.56465
0.11,0.27,1.7532
0.02,0.88,0.93425
0.77,0.66,3.14375
0.8,0.8,3.0915
0.98,0.11,4.1918
0.75,0.33,3.38535
0.71,0.74,2.9131
0.3,0.3,2.26485
0.74,0.01,3.6764
0.38,0.86,1.9387
0.18,0.75,1.4911
0.91,0.55,3.5902
0.33,0.87,1.78535
0.18,0.61,1.60965
0.34,0.01,2.6507
0.09,0.94,1.0646
0.63,0.97,2.4979
0.04,0.07,1.8072
0.86,0.22,3.7754
0.0,0.89,0.86585
0.72,0.11,3.5112
0.82,0.64,3.3009
0.9,0.41,3.6988
0.42,0.72,2.1731
0.63,0.7,2.7418
1.0,0.58,3.81135
0.77,0.56,3.2299
0.15,0.79,1.3667
0.69,0.57,3.0252
0.65,0.67,2.83955
0.62,0.73,2.692
0.53,0.63,2.53605
0.1,0.96,1.07535
0.52,0.86,2.34205
0.29,0.51,2.0027
0.73,0.85,2.86265
0.84,0.28,3.6595
0.21,0.76,1.58095
0.33,0.61,2.04415
0.62,0.04,3.35235
0.98,0.59,3.73635
0.23,0.23,2.1277
0.14,0.78,1.34385
0.88,0.61,3.48575
0.23,0.41,1.9478
0.78,0.15,3.6519
0.55,0.33,2.86115
0.79,0.01,3.8057
0.89,0.3,3.77055
0.69,0.16,3.39865
0.87,0.17,3.85305
0.66,0.16,3.31475
0.98,0.18,4.1338
0.54,0.36,2.85145
0.54,0.37,2.8166
0.83,0.07,3.8411
0.07,0.62,1.2985
0.01,0.77,0.9961
0.48,0.12,2.8867
0.52,0.35,2.78795
0.36,0.13,2.61155
0.23,0.73,1.62185
0.32,0.02,2.59205
0.94,0.4,3.81645
0.13,0.19,1.88405
0.05,0.14,1.7286
0.67,0.87,2.71015
0.79,0.74,3.12975
0.12,0.23,1.82605
0.22,0.8,1.56115
0.36,0.96,1.78025
0.38,0.91,1.87695
0.19,0.03,2.28995
0.12,0.91,1.1771
0.85,0.78,3.24045
0.29,0.57,1.9643
0.12,0.84,1.2371
0.75,0.08,3.62215
0.77,0.9,2.8858
0.25,0.39,2.0324
0.58,0.19,3.0895
0.53,0.54,2.62045
0.4,0.98,1.8995
0.12,0.74,1.33135
0.33,0.7,1.9262
0.4,0.45,2.37275
0.76,0.2,3.53965
0.34,0.47,2.17135
0.2,0.29,1.98275
0.3,0.99,1.5697
0.54,0.42,2.76045
0.11,0.72,1.327
0.86,0.56,3.46625
0.48,0.52,2.4886
0.27,0.31,2.15505
0.59,0.02,3.27625
0.43,0.45,2.426
0.36,0.48,2.22345
0.19,0.37,1.8682
0.19,0.5,1.76405
0.04,0.76,1.08485
0.5,0.23,2.87005
0.92,0.28,3.8975
0.93,0.11,4.0801
0.24,0.66,1.7348
0.33,0.69,1.9168
0.17,0.52,1.66525
0.1,0.16,1.86085
0.55,0.24,2.9558
0.64,0.55,2.89655
0.38,0.15,2.6033
0.66,0.94,2.59755
0.16,0.31,1.8532
0.49,0.66,2.403
0.84,0.27,3.69285
0.68,0.47,3.07425
0.74,0.34,3.3487
0.15,0.1,2.0701
0.85,0.96,3.0641
0.64,0.31,3.10965
0.76,0.01,3.72365
0.74,0.83,2.91045
0.21,0.51,1.7991
0.84,0.9,3.0933
0.97,0.11,4.1658
0.83,0.6,3.36685
0.7,0.9,2.75265
0.97,0.69,3.61715
0.41,0.2,2.6393
0.02,0.09,1.71705
0.95,0.36,3.878
0.17,1.0,1.2336
0.43,0.86,2.0515
0.61,0.13,3.21745
0.08,0.53,1.4098
0.3,0.34,2.2265
0.76,0.02,3.72895
0.57,0.91,2.39855
0.14,0.56,1.55105
0.31,0.7,1.8967
0.22,0.2,2.1479
0.26,0.36,2.1002
0.54,0.97,2.27735
0.34,0.57,2.0979
0.17,0.89,1.33915
0.7,0.55,3.0628
0.07,0.14,1.7943
0.32,0.9,1.7459
0.23,0.08,2.29535
0.45,0.16,2.7937
0.08,0.32,1.60675
0.5,0.97,2.13645
0.37,1.0,1.7731
0.34,0.0,2.67325
0.47,0.88,2.18225
0.9,0.82,3.3292
0.83,0.67,3.2664
0.01,0.87,0.90575
0.49,0.31,2.7362
0.69,0.89,2.74465
0.5,0.1,2.972
0.98,0.83,3.5389
0.71,0.91,2.757
0.95,0.18,4.04555
0.25,0.33,2.07325
0.29,0.16,2.35935
0.27,0.66,1.82355
0.77,0.21,3.5301
0.13,0.46,1.6047
0.42,0.82,2.0924
0.39,0.19,2.59575
0.95,0.76,3.53005
0.75,0.8,2.97375
0.05,0.67,1.17875
0.24,0.53,1.87115
0.79,0.25,3.59235
0.62,0.88,2.5552
0.19,0.54,1.729
0.25,0.72,1.7078
0.85,0.85,3.1571
0.58,0.15,3.14585
0.18,0.37,1.85745
0.18,0.32,1.90855
0.44,0.77,2.15355
0.0,0.26,1.4508
0.79,0.81,3.04005
0.25,0.28,2.12435
0.72,0.63,3.0481
0.86,0.52,3.5124
0.33,0.46,2.13935
0.46,0.74,2.2283
0.78,0.22,3.55665
0.0,0.22,1.50185
0.36,0.1,2.6098
0.61,0.94,2.4702
0.97,0.87,3.47205
0.07,0.24,1.6771
0.64,0.94,2.54235
0.64,0.07,3.37275
0.43,0.56,2.33215
0.56,0.83,2.4407
0.33,0.86,1.7856
1.0,0.87,3.5531
0.45,0.44,2.51145
0.38,0.84,1.95085
0.83,0.45,3.4681
0.71,0.14,3.4763
0.57,0.61,2.67735
0.63,0.16,3.25855
0.02,0.15,1.6322
0.89,0.26,3.80945
0.69,0.58,2.9955
0.88,0.07,3.9644
0.36,0.05,2.67415
0.49,0.21,2.8351
0.06,0.81,1.10215
0.83,0.06,3.83325
0.37,0.56,2.1966
0.73,0.11,3.5356
0.66,0.42,3.06965
0.65,0.54,2.9395
0.81,0.51,3.3689
0.39,0.68,2.1371
0.66,0.69,2.81515
0.74,0.41,3.2809
0.09,0.67,1.30545
0.65,0.16,3.31625
0.84,0.99,3.01975
0.95,0.99,3.27635
0.82,0.13,3.76745
0.85,0.87,3.1669
0.53,0.7,2.48525
0.88,0.39,3.67235
0.15,0.13,2.0476
0.42,0.43,2.44945
0.86,0.9,3.14885
0.41,0.42,2.40825
0.2,0.02,2.29555
0.33,0.41,2.2168
0.64,0.86,2.60265
0.45,0.75,2.2242
0.14,0.3,1.80005
0.0,0.62,1.1094
0.26,0.6,1.85195
0.3,0.38,2.1896
0.64,0.37,3.04775
0.18,0.17,2.05405
0.0,0.08,1.68045
0.46,0.06,2.91245
0.78,0.42,3.38475
0.15,0.64,1.5015
0.81,0.72,3.18215
0.41,0.39,2.4404
0.86,0.91,3.14085
0.28,0.02,2.49215
0.73,0.92,2.81235
0.12,0.64,1.4267
0.94,0.52,3.68745
0.3,0.04,2.5386
0.06,0.2,1.6828
0.49,0.02,3.02805
0.86,0.61,3.40855
0.75,0.26,3.4392
0.01,0.95,0.84135
0.91,0.35,3.7748
0.56,0.38,2.85495
0.73,0.7,2.9971
0.67,0.12,3.3912
0.19,0.64,1.61855
0.22,0.95,1.3992
0.77,0.08,3.69895
0.73,0.75,2.95965
0.16,0.07,2.11775
0.28,0.96,1.566
0.52,0.73,2.41205
0.69,0.09,3.47595
0.85,0.98,3.06005
0.55,0.38,2.82085
0.21,0.45,1.8445
0.27,0.21,2.2634
0.16,0.22,1.95105
0.18,0.27,1.95455
0.23,0.85,1.53125
0.88,0.04,3.9906
0.4,0.22,2.5826
0.26,0.12,2.33525
0.25,0.78,1.64065
0.84,0.33,3.6093
0.52,0.12,3.00535
0.76,0.05,3.6971
0.54,0.11,3.092
0.84,0.87,3.1205
0.28,0.75,1.77315
0.56,0.59,2.66455
0.34,0.68,1.9786
0.18,0.87,1.3799
0.41,0.14,2.70365
0.48,0.45,2.59835
0.04,0.17,1.66015
0.75,0.75,3.0231
0.9,0.28,3.81985
0.5,0.37,2.6899
0.0,0.0,1.811
0.39,0.51,2.27235
0.58,0.59,2.6793
0.19,0.93,1.34955
0.52,0.29,2.8179
0.07,0.46,1.4484
0.01,0.72,1.04145
0.39,0.67,2.14745
0.54,0.87,2.33225
0.56,0.22,3.0291
0.61,0.39,2.9927
0.08,0.22,1.7148
0.18,0.8,1.44615
0.3,0.29,2.27155
0.04,0.41,1.3942
0.99,0.73,3.6494
0.76,0.5,3.2639
0.97,0.16,4.10365
0.26,0.18,2.2661
0.31,0.03,2.5612
0.57,0.54,2.73575
0.94,0.5,3.71485
0.25,0.71,1.71205
0.73,0.95,2.7437
0.07,0.71,1.21645
0.11,0.3,1.7175
0.26,0.58,1.87125
0.39,0.27,2.50485
0.98,0.77,3.5973
0.57,0.99,2.3326
0.4,0.55,2.26955
0.19,0.24,2.006
0.97,0.19,4.08545
0.44,0.79,2.1609
0.19,0.12,2.1458
0.24,0.81,1.5956
0.35,0.56,2.12685
0.13,0.85,1.2608
0.94,0.65,3.595
0.33,0.58,2.0605
0.73,0.16,3.51455
0.14,0.55,1.563
0.69,0.14,3.4384
0.09,0.93,1.0868
0.66,0.18,3.2948
0.15,0.82,1.3377
0.2,0.81,1.5034
1.0,0.66,3.7346
0.36,0.83,1.9223
0.64,0.85,2.6277
0.09,0.78,1.2206
0.5,0.62,2.46135
0.78,0.75,3.085
0.68,0.68,2.8759
0.1,0.95,1.07605
0.78,0.82,3.0136
