x,y,score
0.46,0.76,2.20965
0.54,0.86,2.29985
0.16,0.19,1.8813
0.61,0.18,2.93255
0.82,0.41,2.9533
0.72,0.66,2.66365
0.63,0.37,2.7672
0.41,0.28,2.47695
0.16,0.44,1.67145
0.8,0.33,2.9971
0.84,0.23,3.13385
0.25,0.48,1.929
0.62,0.7,2.4878
0.78,0.28,3.04145
0.03,0.68,1.11815
0.57,0.0,3.12685
0.69,0.37,2.87645
0.46,0.05,2.89765
0.65,0.03,3.18655
0.56,0.8,2.354
0.28,0.44,2.0091
0.65,0.0,3.23525
0.57,0.1,2.9985
0.44,0.29,2.5313
0.63,0.49,2.66705
0.26,0.03,2.4667
0.92,0.27,3.19295
0.69,0.35,2.886
0.79,0.78,2.66795
0.3,0.26,2.2539
0.98,0.54,3.00515
0.25,0.62,1.8326
0.55,0.43,2.61205
0.19,0.06,2.15775
0.14,0.65,1.5137
0.09,0.65,1.33405
0.92,1.0,2.6989
0.51,0.43,2.5337
0.36,0.66,2.06125
0.33,0.92,1.8807
0.01,0.93,1.02935
0.25,0.81,1.7297
0.9,0.46,3.0352
0.3,0.12,2.4418
0.87,0.59,2.87725
0.8,0.75,2.6816
0.93,0.2,3.2243
0.34,0.41,2.20465
0.05,0.48,1.2446
0.9,0.12,3.2974
0.59,0.65,2.48335
0.72,0.62,2.67995
0.29,0.87,1.79435
0.02,0.72,1.0762
0.8,0.35,2.98965
0.09,0.22,1.55065
0.05,0.61,1.20015
0.49,0.38,2.55615
0.62,0.21,2.9215
0.79,0.55,2.80055
0.64,0.52,2.6678
0.17,0.15,1.94015
0.45,0.81,2.1796
0.48,0.8,2.23265
0.51,0.39,2.58355
0.62,0.39,2.73695
0.58,0.64,2.48645
0.8,0.62,2.78905
0.6,0.07,3.0801
0.35,0.87,1.95325
0.85,0.83,2.7193
0.96,0.89,2.8163
0.68,0.4,2.80155
0.13,0.15,1.7836
0.14,0.31,1.7035
0.15,0.88,1.4624
0.72,0.97,2.47855
0.56,0.33,2.72025
0.52,0.26,2.72395
0.99,0.97,2.7798
0.9,0.63,2.8631
0.31,0.47,2.09895
0.98,0.8,2.8778
0.31,0.34,2.18345
0.22,0.4,1.9012
0.87,0.37,3.05535
0.76,0.43,2.87275
0.79,0.76,2.676
0.83,0.38,3.0142
0.74,0.12,3.14655
0.68,0.51,2.73975
0.56,0.43,2.63525
0.63,0.01,3.18955
0.45,0.24,2.61175
0.52,0.13,2.8746
0.64,0.47,2.682
0.51,0.91,2.22825
0.78,0.92,2.5641
0.92,0.54,2.96815
0.75,0.83,2.5935
0.72,0.5,2.8058
0.53,0.74,2.33975
0.82,0.88,2.64925
0.63,0.35,2.7596
0.8,0.56,2.83905
0.99,0.8,2.85
0.69,0.67,2.6299
0.44,0.43,2.39555
0.71,0.62,2.6833
0.63,0.08,3.0935
0.48,0.4,2.5248
0.93,0.51,3.00785
0.65,0.12,3.0718
0.78,0.34,2.97925
0.17,0.41,1.7212
0.59,0.93,2.3398
0.98,0.65,2.96815
0.89,0.49,2.95745
0.09,0.48,1.41795
0.98,0.94,2.7852
0.6,0.72,2.4573
0.74,0.48,2.80695
0.48,0.19,2.7316
0.15,0.11,1.88605
0.86,0.55,2.92945
0.97,0.56,3.00875
1.0,0.64,2.9634
0.43,0.66,2.2254
0.85,0.2,3.1829
0.02,0.64,1.09055
0.26,0.02,2.49375
0.12,0.68,1.43215
0.66,0.15,3.034
0.75,0.58,2.7781
0.04,0.92,1.1262
0.15,0.58,1.5717
0.4,0.84,2.0707
0.94,0.97,2.71715
0.64,0.08,3.10955
0.08,0.63,1.3214
0.81,0.9,2.6477
0.21,0.79,1.6532
0.21,0.13,2.1267
0.82,0.12,3.228
0.77,0.84,2.6364
0.76,0.89,2.57445
0.06,0.34,1.3284
0.92,0.45,3.0044
0.41,0.87,2.05895
0.11,0.48,1.4751
0.67,0.53,2.69985
0.36,0.88,1.96345
0.47,0.6,2.32905
0.34,0.03,2.6891
0.79,0.95,2.5597
0.24,0.56,1.8557
0.17,0.32,1.7987
0.59,0.26,2.82135
0.59,0.68,2.46
1.0,0.57,3.01185
0.63,0.84,2.4489
0.72,0.58,2.723
0.84,0.68,2.7808
0.07,0.87,1.23235
0.71,0.48,2.77625
0.27,0.76,1.827
0.2,0.43,1.80305
0.25,0.83,1.73435
0.74,0.97,2.514
0.56,0.06,3.0458
0.77,0.18,3.13595
0.61,0.23,2.87405
0.73,0.56,2.7706
0.4,0.67,2.1887
0.93,0.15,3.29335
0.37,0.3,2.3867
0.89,0.6,2.8838
0.32,0.92,1.856
0.97,0.95,2.7577
0.96,0.12,3.3571
0.74,0.25,3.0254
0.47,0.92,2.13915
0.13,0.43,1.57155
0.8,0.68,2.7145
0.01,0.53,1.0673
0.69,0.03,3.23685
0.73,0.82,2.5859
0.97,0.94,2.757
0.9,1.0,2.65385
0.08,0.23,1.4803
0.82,0.79,2.6936
0.42,0.46,2.3509
0.62,0.93,2.37755
0.71,0.43,2.8179
0.77,0.04,3.30245
0.97,0.53,3.02245
0.73,0.22,3.02475
0.59,0.14,2.96135
0.5,0.81,2.24255
0.4,1.0,1.9817
0.89,0.12,3.31065
0.05,0.83,1.1729
0.19,0.67,1.6604
0.97,0.93,2.77065
0.69,0.2,3.01415
0.72,0.64,2.67825
0.94,0.47,3.01715
0.81,0.73,2.71835
0.5,0.86,2.2116
0.15,0.5,1.60465
0.45,0.28,2.5731
0.48,0.93,2.1785
0.15,0.25,1.77075
0.32,0.14,2.45125
0.62,0.38,2.75045
0.48,0.51,2.4302
0.61,0.92,2.3769
0.34,0.82,1.9419
0.39,0.43,2.31105
0.89,0.11,3.32155
0.67,0.3,2.89575
0.15,0.26,1.7649
0.72,0.21,3.0643
0.57,0.41,2.65905
0.01,0.09,1.18415
0.55,0.84,2.32475
0.85,0.24,3.16665
0.53,0.07,2.98685
0.81,0.85,2.66125
0.65,0.79,2.5103
0.08,0.01,1.6858
0.62,0.24,2.87975
0.28,0.85,1.80195
0.12,0.31,1.5902
0.04,0.88,1.13175
0.25,0.42,1.9627
0.29,0.34,2.1547
0.12,0.75,1.40635
0.16,0.7,1.54305
0.9,0.47,2.99465
0.65,0.01,3.22525
0.44,0.94,2.0923
0.38,0.39,2.33775
0.95,0.84,2.79715
0.31,0.48,2.1031
0.45,0.92,2.1281
0.08,0.35,1.4102
0.68,0.89,2.46115
0.99,1.0,2.74945
0.61,0.37,2.72725
0.02,0.96,1.0597
0.94,0.0,3.4609
0.71,0.78,2.56495
0.09,0.02,1.7191
0.46,0.16,2.73495
0.3,0.07,2.5372
0.94,0.83,2.80915
0.25,0.01,2.4768
0.78,0.53,2.844
0.24,0.45,1.91445
0.1,0.82,1.3455
0.27,0.33,2.08025
0.89,0.17,3.25915
0.5,0.19,2.76375
0.12,0.89,1.3808
0.57,0.07,3.0201
0.85,0.58,2.85665
0.03,0.67,1.11905
0.79,0.05,3.29435
0.18,0.3,1.8536
0.66,0.43,2.7795
0.41,0.6,2.22565
0.52,0.47,2.51915
0.53,0.05,3.02445
0.51,0.93,2.2189
0.8,0.32,3.0184
0.91,0.77,2.7973
0.57,0.84,2.3585
0.65,0.7,2.53025
0.6,0.23,2.8665
0.11,0.82,1.36185
0.46,1.0,2.10815
0.71,0.57,2.7326
0.28,0.08,2.44915
0.2,0.19,2.0266
0.82,0.03,3.3697
0.9,0.83,2.7361
0.68,0.02,3.2353
0.1,0.34,1.5181
0.97,0.02,3.48055
0.27,0.01,2.52735
0.84,0.82,2.6753
0.99,0.61,2.9507
0.18,0.48,1.73335
0.18,0.73,1.61715
0.79,0.15,3.18455
0.77,0.93,2.5773
0.58,0.8,2.3891
0.18,0.95,1.5149
0.21,0.71,1.6681
0.98,0.62,2.96185
0.23,0.97,1.66325
0.06,0.16,1.44415
0.53,0.36,2.63625
0.97,0.86,2.81765
0.26,0.42,1.99745
0.81,0.43,2.9672
0.2,0.12,2.12065
0.1,0.57,1.4229
0.15,0.35,1.69645
0.89,0.02,3.42595
0.51,0.7,2.3263
0.57,0.27,2.77805
0.11,0.19,1.6352
0.69,0.41,2.7962
0.68,0.83,2.51955
0.97,0.34,3.1622
0.36,0.11,2.61035
0.53,0.1,2.9403
0.19,0.47,1.73985
0.81,0.31,3.05225
0.66,0.86,2.45525
0.93,0.77,2.83465
0.82,0.05,3.32465
0.88,0.94,2.6851
0.33,0.39,2.1882
0.1,0.68,1.3795
0.84,0.95,2.62595
0.29,0.54,1.97895
0.96,0.41,3.12155
0.89,0.67,2.85825
0.91,0.12,3.32235
0.31,0.86,1.8503
0.11,0.2,1.647
0.06,0.77,1.2194
0.89,0.59,2.91165
0.01,0.38,1.074
0.18,0.09,2.0683
0.2,0.72,1.6721
0.56,0.89,2.31185
0.19,0.48,1.7452
0.33,0.63,2.05455
0.86,0.41,3.02295
0.51,0.19,2.7985
0.35,0.08,2.6323
0.51,0.69,2.34695
0.68,0.91,2.47165
0.78,0.73,2.7031
0.65,0.68,2.5721
0.4,0.44,2.3234
0.02,0.27,1.16145
0.3,0.89,1.8282
0.87,0.99,2.6357
0.95,0.8,2.79845
0.58,0.76,2.39915
0.71,0.86,2.54095
0.44,0.13,2.7192
0.48,0.0,3.03295
0.57,0.63,2.4844
0.59,0.25,2.83895
0.95,0.45,3.0586
0.12,0.04,1.8847
0.21,0.3,1.93445
0.57,0.31,2.76495
0.26,0.94,1.7077
0.55,0.82,2.3178
0.73,0.83,2.57905
0.94,0.28,3.1945
0.74,0.14,3.14105
0.03,0.55,1.1442
0.28,0.81,1.82805
0.22,0.76,1.7097
0.26,0.45,1.99305
0.15,0.41,1.65
0.85,0.02,3.37455
0.18,0.19,1.9405
0.11,0.09,1.768
0.34,0.74,1.982
0.99,0.67,2.94045
0.74,0.85,2.55155
0.91,0.29,3.14115
0.12,0.41,1.5447
0.17,0.03,2.168
0.06,0.47,1.28445
0.88,0.68,2.81955
0.68,0.19,3.0207
0.44,0.59,2.2751
0.64,0.56,2.6622
0.17,0.24,1.86985
0.56,0.65,2.41965
0.63,0.48,2.67795
0.08,0.2,1.4809
0.24,0.82,1.7262
0.99,0.37,3.1624
0.89,0.42,3.0165
0.38,0.47,2.26325
0.68,0.22,3.0065
0.2,0.25,1.96765
0.27,0.27,2.1416
0.1,0.01,1.8218
0.41,0.8,2.1182
0.38,0.04,2.76255
0.69,0.98,2.4445
0.59,0.96,2.31845
0.18,0.21,1.92735
0.11,0.97,1.33365
0.03,0.82,1.10675
0.52,0.89,2.2629
0.75,0.97,2.5302
0.17,0.87,1.52245
0.87,0.48,2.97065
0.03,0.44,1.17105
0.33,0.44,2.14205
0.76,0.32,2.96885
