x,y,score
0.46,0.76,2.35095
0.54,0.86,2.44745
0.16,0.19,1.8145
0.61,0.18,3.10895
0.82,0.41,3.2496
0.72,0.66,2.8845
0.63,0.37,2.94595
0.41,0.28,2.57285
0.16,0.44,1.6762
0.8,0.33,3.2845
0.84,0.23,3.4208
0.25,0.48,1.98175
0.62,0.7,2.69595
0.78,0.28,3.29055
0.03,0.68,1.1255
0.57,0.0,3.25255
0.69,0.37,3.07145
0.46,0.05,2.93195
0.65,0.03,3.36525
0.56,0.8,2.51755
0.28,0.44,2.0669
0.65,0.0,3.3989
0.57,0.1,3.1211
0.44,0.29,2.6327
0.63,0.49,2.85275
0.26,0.03,2.37305
0.92,0.27,3.4766
0.69,0.35,3.1179
0.79,0.78,2.9167
0.3,0.26,2.28395
0.98,0.54,3.3248
0.25,0.62,1.8984
0.55,0.43,2.7793
0.19,0.06,2.03455
0.14,0.65,1.53045
0.09,0.65,1.3476
0.92,1.0,2.94185
0.51,0.43,2.68285
0.36,0.66,2.16695
0.33,0.92,1.9781
0.01,0.93,1.03245
0.25,0.81,1.80695
0.9,0.46,3.3186
0.3,0.12,2.4019
0.87,0.59,3.17985
0.8,0.75,2.9433
0.93,0.2,3.5758
0.34,0.41,2.2615
0.05,0.48,1.23625
0.9,0.12,3.6081
0.59,0.65,2.6749
0.72,0.62,2.90775
0.29,0.87,1.8936
0.02,0.72,1.08155
0.8,0.35,3.23695
0.09,0.22,1.4829
0.05,0.61,1.2027
0.49,0.38,2.6481
0.62,0.21,3.0928
0.79,0.55,3.08215
0.64,0.52,2.8796
0.17,0.15,1.8802
0.45,0.81,2.31575
0.48,0.8,2.3595
0.51,0.39,2.71915
0.62,0.39,2.94715
0.58,0.64,2.66795
0.8,0.62,3.04075
0.6,0.07,3.2298
0.35,0.87,2.0407
0.85,0.83,2.96475
0.96,0.89,3.0704
0.68,0.4,3.04445
0.13,0.15,1.7168
0.14,0.31,1.6819
0.15,0.88,1.50605
0.72,0.97,2.6759
0.56,0.33,2.86625
0.52,0.26,2.84265
0.99,0.97,3.07095
0.9,0.63,3.17135
0.31,0.47,2.1705
0.98,0.8,3.1547
0.31,0.34,2.2648
0.22,0.4,1.9004
0.87,0.37,3.3392
0.76,0.43,3.1226
0.79,0.76,2.95165
0.83,0.38,3.2582
0.74,0.12,3.41835
0.68,0.51,2.9283
0.56,0.43,2.7801
0.63,0.01,3.35
0.45,0.24,2.7069
0.52,0.13,2.9946
0.64,0.47,2.91325
0.51,0.91,2.36655
0.78,0.92,2.81585
0.92,0.54,3.24905
0.75,0.83,2.80835
0.72,0.5,3.0203
0.53,0.74,2.4945
0.82,0.88,2.8957
0.63,0.35,2.9699
0.8,0.56,3.09775
0.99,0.8,3.17465
0.69,0.67,2.84435
0.44,0.43,2.5171
0.71,0.62,2.8911
0.63,0.08,3.26045
0.48,0.4,2.6516
0.93,0.51,3.2976
0.65,0.12,3.2585
0.78,0.34,3.2378
0.17,0.41,1.72745
0.59,0.93,2.5078
0.98,0.65,3.25395
0.89,0.49,3.25075
0.09,0.48,1.39435
0.98,0.94,3.05445
0.6,0.72,2.64925
0.74,0.48,3.06555
0.48,0.19,2.8405
0.15,0.11,1.7887
0.86,0.55,3.16765
0.97,0.56,3.31295
1.0,0.64,3.2592
0.43,0.66,2.3604
0.85,0.2,3.4671
0.02,0.64,1.089
0.26,0.02,2.36345
0.12,0.68,1.4526
0.66,0.15,3.24775
0.75,0.58,3.01155
0.04,0.92,1.13765
0.15,0.58,1.59085
0.4,0.84,2.18005
0.94,0.97,3.0043
0.64,0.08,3.2689
0.08,0.63,1.3283
0.81,0.9,2.868
0.21,0.79,1.7177
0.21,0.13,2.0639
0.82,0.12,3.51145
0.77,0.84,2.84355
0.76,0.89,2.8244
0.06,0.34,1.30405
0.92,0.45,3.31605
0.41,0.87,2.19525
0.11,0.48,1.47385
0.67,0.53,2.89355
0.36,0.88,2.0606
0.47,0.6,2.48115
0.34,0.03,2.63185
0.79,0.95,2.81675
0.24,0.56,1.8972
0.17,0.32,1.78635
0.59,0.26,2.996
0.59,0.68,2.659
1.0,0.57,3.34305
0.63,0.84,2.6401
0.72,0.58,2.94305
0.84,0.68,3.04575
0.07,0.87,1.24955
0.71,0.48,3.01005
0.27,0.76,1.9036
0.2,0.43,1.84205
0.25,0.83,1.80285
0.74,0.97,2.70965
0.56,0.06,3.1432
0.77,0.18,3.3952
0.61,0.23,3.0578
0.73,0.56,3.00325
0.4,0.67,2.2606
0.93,0.15,3.6047
0.37,0.3,2.4424
0.89,0.6,3.1858
0.32,0.92,1.9642
0.97,0.95,3.0272
0.96,0.12,3.67275
0.74,0.25,3.2627
0.47,0.92,2.278
0.13,0.43,1.5783
0.8,0.68,3.01775
0.01,0.53,1.0634
0.69,0.03,3.44145
0.73,0.82,2.8058
0.97,0.94,3.0439
0.9,1.0,2.94755
0.08,0.23,1.4259
0.82,0.79,2.94945
0.42,0.46,2.4395
0.62,0.93,2.5635
0.71,0.43,3.04545
0.77,0.04,3.542
0.97,0.53,3.3049
0.73,0.22,3.2741
0.59,0.14,3.1107
0.5,0.81,2.39815
0.4,1.0,2.10305
0.89,0.12,3.6094
0.05,0.83,1.18505
0.19,0.67,1.6915
0.97,0.93,3.0602
0.69,0.2,3.23595
0.72,0.64,2.9178
0.94,0.47,3.3557
0.81,0.73,2.9914
0.5,0.86,2.36965
0.15,0.5,1.61445
0.45,0.28,2.67345
0.48,0.93,2.2905
0.15,0.25,1.7329
0.32,0.14,2.4507
0.62,0.38,2.92205
0.48,0.51,2.56675
0.61,0.92,2.55265
0.34,0.82,2.0417
0.39,0.43,2.40805
0.89,0.11,3.6086
0.67,0.3,3.1073
0.15,0.26,1.7547
0.72,0.21,3.2802
0.57,0.41,2.80445
0.01,0.09,1.114
0.55,0.84,2.4936
0.85,0.24,3.4383
0.53,0.07,3.079
0.81,0.85,2.8999
0.65,0.79,2.68455
0.08,0.01,1.5106
0.62,0.24,3.08065
0.28,0.85,1.87625
0.12,0.31,1.5865
0.04,0.88,1.1413
0.25,0.42,2.0158
0.29,0.34,2.1933
0.12,0.75,1.4364
0.16,0.7,1.5774
0.9,0.47,3.28745
0.65,0.01,3.37555
0.44,0.94,2.2058
0.38,0.39,2.42665
0.95,0.84,3.1035
0.31,0.48,2.1507
0.45,0.92,2.2397
0.08,0.35,1.3902
0.68,0.89,2.68005
0.99,1.0,3.0355
0.61,0.37,2.934
0.02,0.96,1.0677
0.94,0.0,3.7865
0.71,0.78,2.7866
0.09,0.02,1.57515
0.46,0.16,2.8187
0.3,0.07,2.4695
0.94,0.83,3.0865
0.25,0.01,2.3194
0.78,0.53,3.083
0.24,0.45,1.95895
0.1,0.82,1.35135
0.27,0.33,2.1418
0.89,0.17,3.53875
0.5,0.19,2.8754
0.12,0.89,1.40395
0.57,0.07,3.1579
0.85,0.58,3.14305
0.03,0.67,1.12295
0.79,0.05,3.5584
0.18,0.3,1.8231
0.66,0.43,2.9844
0.41,0.6,2.3425
0.52,0.47,2.6709
0.53,0.05,3.11105
0.51,0.93,2.34665
0.8,0.32,3.28695
0.91,0.77,3.08085
0.57,0.84,2.5134
0.65,0.7,2.75745
0.6,0.23,3.04585
0.11,0.82,1.393
0.46,1.0,2.23865
0.71,0.57,2.9407
0.28,0.08,2.3606
0.2,0.19,1.97085
0.82,0.03,3.5979
0.9,0.83,3.0651
0.68,0.02,3.4286
0.1,0.34,1.47675
0.97,0.02,3.7962
0.27,0.01,2.42115
0.84,0.82,2.93935
0.99,0.61,3.30295
0.18,0.48,1.76095
0.18,0.73,1.6496
0.79,0.15,3.42355
0.77,0.93,2.8018
0.58,0.8,2.5675
0.18,0.95,1.5832
0.21,0.71,1.72825
0.98,0.62,3.2549
0.23,0.97,1.7099
0.06,0.16,1.3648
0.53,0.36,2.7851
0.97,0.86,3.09585
0.26,0.42,2.06335
0.81,0.43,3.2077
0.2,0.12,2.0249
0.1,0.57,1.43095
0.15,0.35,1.68495
0.89,0.02,3.7097
0.51,0.7,2.4818
0.57,0.27,2.94725
0.11,0.19,1.6015
0.69,0.41,3.0428
0.68,0.83,2.71665
0.97,0.34,3.47965
0.36,0.11,2.61355
0.53,0.1,3.0583
0.19,0.47,1.76675
0.81,0.31,3.324
0.66,0.86,2.65235
0.93,0.77,3.10575
0.82,0.05,3.5917
0.88,0.94,2.94195
0.33,0.39,2.2637
0.1,0.68,1.40425
0.84,0.95,2.88615
0.29,0.54,2.0413
0.96,0.41,3.41075
0.89,0.67,3.1361
0.91,0.12,3.62545
0.31,0.86,1.95705
0.11,0.2,1.5796
0.06,0.77,1.23535
0.89,0.59,3.18085
0.01,0.38,1.0671
0.18,0.09,1.95805
0.2,0.72,1.7037
0.56,0.89,2.46995
0.19,0.48,1.76105
0.33,0.63,2.11615
0.86,0.41,3.29315
0.51,0.19,2.90975
0.35,0.08,2.58335
0.51,0.69,2.485
0.68,0.91,2.6649
0.78,0.73,2.94255
0.65,0.68,2.753
0.4,0.44,2.41685
0.02,0.27,1.1326
0.3,0.89,1.9098
0.87,0.99,2.88565
0.95,0.8,3.1272
0.58,0.76,2.59055
0.71,0.86,2.7268
0.44,0.13,2.7946
0.48,0.0,3.057
0.57,0.63,2.66185
0.59,0.25,3.01345
0.95,0.45,3.3821
0.12,0.04,1.71925
0.21,0.3,1.931
0.57,0.31,2.91595
0.26,0.94,1.78765
0.55,0.82,2.50235
0.73,0.83,2.7955
0.94,0.28,3.50795
0.74,0.14,3.3835
0.03,0.55,1.1381
0.28,0.81,1.9038
0.22,0.76,1.7394
0.26,0.45,2.029
0.15,0.41,1.651
0.85,0.02,3.67805
0.18,0.19,1.9002
0.11,0.09,1.64385
0.34,0.74,2.06545
0.99,0.67,3.23745
0.74,0.85,2.8088
0.91,0.29,3.45
0.12,0.41,1.53485
0.17,0.03,1.96995
0.06,0.47,1.2779
0.88,0.68,3.12375
0.68,0.19,3.2197
0.44,0.59,2.4064
0.64,0.56,2.8407
0.17,0.24,1.8207
0.56,0.65,2.6227
0.63,0.48,2.8893
0.08,0.2,1.4602
0.24,0.82,1.78435
0.99,0.37,3.4912
0.89,0.42,3.3152
0.38,0.47,2.3295
0.68,0.22,3.189
0.2,0.25,1.9438
0.27,0.27,2.15065
0.1,0.01,1.6199
0.41,0.8,2.2292
0.38,0.04,2.7462
0.69,0.98,2.6393
0.59,0.96,2.4954
0.18,0.21,1.8816
0.11,0.97,1.36245
0.03,0.82,1.116
0.52,0.89,2.3832
0.75,0.97,2.7409
0.17,0.87,1.5654
0.87,0.48,3.25
0.03,0.44,1.156
0.33,0.44,2.23095
0.76,0.32,3.2246
0.73,0.5,3.024
0.26,0.28,2.14395
0.36,0.29,2.457
0.28,0.11,2.34835
0.0,0.23,1.03225
0.87,0.0,3.71815
0.26,0.61,1.93675
1.0,0.5,3.3721
0.35,0.61,2.1898
0.02,0.33,1.1224
0.52,0.76,2.47125
0.06,0.97,1.20015
0.98,0.06,3.7641
0.13,0.17,1.6943
0.24,0.64,1.8745
0.35,0.14,2.55175
0.11,0.94,1.3731
0.76,0.77,2.8774
0.67,0.45,2.95875
0.09,0.51,1.38475
0.99,0.31,3.5335
0.07,0.89,1.2473
0.65,0.43,2.973
0.85,0.19,3.47585
0.91,0.58,3.235
0.48,0.56,2.49165
0.66,0.06,3.34135
0.18,0.38,1.78215
0.56,0.64,2.6197
0.72,0.43,3.074
0.64,0.11,3.25975
0.38,0.45,2.33915
0.42,0.25,2.64045
1.0,0.63,3.2896
0.35,0.26,2.44685
0.03,0.18,1.1989
