x,y,score
0.46,0.76,1.80025
0.54,0.86,1.81265
0.16,0.19,2.23635
0.61,0.18,2.65865
0.82,0.41,2.4698
0.72,0.66,2.14195
0.63,0.37,2.3813
0.41,0.28,2.3381
0.16,0.44,1.7196
0.8,0.33,2.53565
0.84,0.23,2.67305
0.25,0.48,1.8119
0.62,0.7,2.0203
0.78,0.28,2.5796
0.03,0.68,1.1087
0.57,0.0,3.0
0.69,0.37,2.43155
0.46,0.05,2.8554
0.65,0.03,2.93965
0.56,0.8,1.8832
0.28,0.44,1.89405
0.65,0.0,3.0
0.57,0.1,2.7792
0.44,0.29,2.3565
0.63,0.49,2.2329
0.26,0.03,2.8719
0.92,0.27,2.6501
0.69,0.35,2.4581
0.79,0.78,2.08545
0.3,0.26,2.25495
0.98,0.54,2.4486
0.25,0.62,1.62525
0.55,0.43,2.23925
0.19,0.06,2.72015
0.14,0.65,1.40625
0.09,0.65,1.2916
0.92,1.0,2.06565
0.51,0.43,2.2003
0.36,0.66,1.74045
0.33,0.92,1.48545
0.01,0.93,0.83585
0.25,0.81,1.4318
0.9,0.46,2.4381
0.3,0.12,2.59335
0.87,0.59,2.3498
0.8,0.75,2.1216
0.93,0.2,2.7434
0.34,0.41,2.07095
0.05,0.48,1.40515
0.9,0.12,2.84325
0.59,0.65,2.0667
0.72,0.62,2.18055
0.29,0.87,1.45945
0.02,0.72,1.0253
0.8,0.35,2.5192
0.09,0.22,2.0318
0.05,0.61,1.224
0.49,0.38,2.26625
0.62,0.21,2.604
0.79,0.55,2.3189
0.64,0.52,2.20825
0.17,0.15,2.37985
0.45,0.81,1.7067
0.48,0.8,1.77435
0.51,0.39,2.25295
0.62,0.39,2.3833
0.58,0.64,2.02915
0.8,0.62,2.2561
0.6,0.07,2.85495
0.35,0.87,1.52955
0.85,0.83,2.1203
0.96,0.89,2.1522
0.68,0.4,2.3726
0.13,0.15,2.3056
0.14,0.31,1.8949
0.15,0.88,1.19825
0.72,0.97,1.89955
0.56,0.33,2.4164
0.52,0.26,2.4602
0.99,0.97,2.09595
0.9,0.63,2.3042
0.31,0.47,1.91975
0.98,0.8,2.24265
0.31,0.34,2.12835
0.22,0.4,1.8933
0.87,0.37,2.5362
0.76,0.43,2.3807
0.79,0.76,2.11885
0.83,0.38,2.51455
0.74,0.12,2.81125
0.68,0.51,2.26775
0.56,0.43,2.27995
0.63,0.01,2.978
0.45,0.24,2.4388
0.52,0.13,2.70805
0.64,0.47,2.2443
0.51,0.91,1.71175
0.78,0.92,1.97095
0.92,0.54,2.4143
0.75,0.83,2.056
0.72,0.5,2.32905
0.53,0.74,1.9102
0.82,0.88,2.06385
0.63,0.35,2.4242
0.8,0.56,2.2921
0.99,0.8,2.21795
0.69,0.67,2.12185
0.44,0.43,2.1371
0.71,0.62,2.1845
0.63,0.08,2.8504
0.48,0.4,2.2141
0.93,0.51,2.4207
0.65,0.12,2.77155
0.78,0.34,2.52335
0.17,0.41,1.79445
0.59,0.93,1.813
0.98,0.65,2.31745
0.89,0.49,2.4287
0.09,0.48,1.4918
0.98,0.94,2.11395
0.6,0.72,1.97285
0.74,0.48,2.3593
0.48,0.19,2.572
0.15,0.11,2.4857
0.86,0.55,2.35525
0.97,0.56,2.4155
1.0,0.64,2.36945
0.43,0.66,1.84205
0.85,0.2,2.722
0.02,0.64,1.11065
0.26,0.02,2.9096
0.12,0.68,1.3149
0.66,0.15,2.7226
0.75,0.58,2.2414
0.04,0.92,0.9138
0.15,0.58,1.4795
0.4,0.84,1.63705
0.94,0.97,2.09005
0.64,0.08,2.85285
0.08,0.63,1.27795
0.81,0.9,2.0289
0.21,0.79,1.3802
0.21,0.13,2.48415
0.82,0.12,2.8171
0.77,0.84,2.0168
0.76,0.89,1.98165
0.06,0.34,1.6781
0.92,0.45,2.4993
0.41,0.87,1.63655
0.11,0.48,1.5328
0.67,0.53,2.2342
0.36,0.88,1.55905
0.47,0.6,1.9575
0.34,0.03,2.8926
0.79,0.95,1.9745
0.24,0.56,1.70715
0.17,0.32,1.92895
0.59,0.26,2.516
0.59,0.68,2.0328
1.0,0.57,2.421
0.63,0.84,1.91965
0.72,0.58,2.2323
0.84,0.68,2.20995
0.07,0.87,1.0399
0.71,0.48,2.31275
0.27,0.76,1.52155
0.2,0.43,1.7955
0.25,0.83,1.4279
0.74,0.97,1.9061
0.56,0.06,2.8677
0.77,0.18,2.71975
0.61,0.23,2.57805
0.73,0.56,2.2735
0.4,0.67,1.8184
0.93,0.15,2.80315
0.37,0.3,2.255
0.89,0.6,2.33355
0.32,0.92,1.46295
0.97,0.95,2.12265
0.96,0.12,2.8402
0.74,0.25,2.6045
0.47,0.92,1.65565
0.13,0.43,1.63445
0.8,0.68,2.21525
0.01,0.53,1.20165
0.69,0.03,2.94175
0.73,0.82,2.0359
0.97,0.94,2.11435
0.9,1.0,2.04065
0.08,0.23,1.9981
0.82,0.79,2.1287
0.42,0.46,2.07105
0.62,0.93,1.8368
0.71,0.43,2.3823
0.77,0.04,2.923
0.97,0.53,2.41885
0.73,0.22,2.64275
0.59,0.14,2.7083
0.5,0.81,1.80505
0.4,1.0,1.5086
0.89,0.12,2.8144
0.05,0.83,1.01545
0.19,0.67,1.44515
0.97,0.93,2.13895
0.69,0.2,2.67745
0.72,0.64,2.1668
0.94,0.47,2.4558
0.81,0.73,2.16425
0.5,0.86,1.7498
0.15,0.5,1.59465
0.45,0.28,2.37215
0.48,0.93,1.66525
0.15,0.25,2.0522
0.32,0.14,2.5617
0.62,0.38,2.35675
0.48,0.51,2.07785
0.61,0.92,1.8214
0.34,0.82,1.59485
0.39,0.43,2.06715
0.89,0.11,2.83115
0.67,0.3,2.5222
0.15,0.26,2.0442
0.72,0.21,2.65705
0.57,0.41,2.27635
0.01,0.09,2.4062
0.55,0.84,1.84
0.85,0.24,2.666
0.53,0.07,2.8282
0.81,0.85,2.06765
0.65,0.79,1.9592
0.08,0.01,2.9267
0.62,0.24,2.55115
0.28,0.85,1.43175
0.12,0.31,1.88245
0.04,0.88,0.93955
0.25,0.42,1.91185
0.29,0.34,2.09655
0.12,0.75,1.25245
0.16,0.7,1.3891
0.9,0.47,2.4573
0.65,0.01,2.9814
0.44,0.94,1.61885
0.38,0.39,2.12135
0.95,0.84,2.13685
0.31,0.48,1.90045
0.45,0.92,1.63455
0.08,0.35,1.69245
0.68,0.89,1.92105
0.99,1.0,2.10245
0.61,0.37,2.38055
0.02,0.96,0.8542
0.94,0.0,3.0
0.71,0.78,2.0211
0.09,0.02,2.86475
0.46,0.16,2.6011
0.3,0.07,2.74965
0.94,0.83,2.16855
0.25,0.01,2.9573
0.78,0.53,2.3217
0.24,0.45,1.84375
0.1,0.82,1.1492
0.27,0.33,2.06905
0.89,0.17,2.78035
0.5,0.19,2.57475
0.12,0.89,1.1177
0.57,0.07,2.8486
0.85,0.58,2.3284
0.03,0.67,1.11355
0.79,0.05,2.9134
0.18,0.3,1.98525
0.66,0.43,2.3563
0.41,0.6,1.8905
0.52,0.47,2.1613
0.53,0.05,2.87265
0.51,0.93,1.7291
0.8,0.32,2.54905
0.91,0.77,2.19805
0.57,0.84,1.8314
0.65,0.7,2.037
0.6,0.23,2.5745
0.11,0.82,1.15015
0.46,1.0,1.5673
0.71,0.57,2.2365
0.28,0.08,2.70055
0.2,0.19,2.29935
0.82,0.03,2.9559
0.9,0.83,2.1334
0.68,0.02,2.96035
0.1,0.34,1.7894
0.97,0.02,2.977
0.27,0.01,2.9601
0.84,0.82,2.0987
0.99,0.61,2.3702
0.18,0.48,1.6952
0.18,0.73,1.3904
0.79,0.15,2.7619
0.77,0.93,1.97805
0.58,0.8,1.9008
0.18,0.95,1.18255
0.21,0.71,1.4678
0.98,0.62,2.38845
0.23,0.97,1.2554
0.06,0.16,2.17065
0.53,0.36,2.3085
0.97,0.86,2.1852
0.26,0.42,1.9103
0.81,0.43,2.44445
0.2,0.12,2.4898
0.1,0.57,1.41625
0.15,0.35,1.8229
0.89,0.02,2.97145
0.51,0.7,1.915
0.57,0.27,2.4956
0.11,0.19,2.1483
0.69,0.41,2.3753
0.68,0.83,1.9715
0.97,0.34,2.60475
0.36,0.11,2.65105
0.53,0.1,2.7669
0.19,0.47,1.72785
0.81,0.31,2.56415
0.66,0.86,1.9461
0.93,0.77,2.18025
0.82,0.05,2.92865
0.88,0.94,2.0775
0.33,0.39,2.06235
0.1,0.68,1.3002
