x,y,score
0.0,0.0,3.0
0.0,0.01,2.899
0.0,0.02,2.835
0.0,0.03,2.74025
0.0,0.04,2.71125
0.0,0.05,2.6159999999999997
0.0,0.06,2.599
0.0,0.07,2.55825
0.0,0.08,2.4750000000000005
0.0,0.09,2.436
0.0,0.1,2.4182499999999996
0.0,0.11,2.3579999999999997
0.0,0.12,2.214
0.0,0.13,2.2369999999999997
0.0,0.14,2.19075
0.0,0.15,2.1960000000000006
0.0,0.16,2.128
0.0,0.17,2.06125
0.0,0.18,2.0075
0.0,0.19,2.0327499999999996
0.0,0.2,1.9592500000000004
0.0,0.21,1.9942499999999996
0.0,0.22,1.9290000000000003
0.0,0.23,1.8699999999999997
0.0,0.24,1.9474999999999998
0.0,0.25,1.8645
0.0,0.26,1.7934999999999999
0.0,0.27,1.7594999999999998
0.0,0.28,1.775
0.0,0.29,1.749
0.0,0.3,1.6932499999999997
0.0,0.31,1.69175
0.0,0.32,1.6634999999999998
0.0,0.33,1.6172499999999999
0.0,0.34,1.62625
0.0,0.35000000000000003,1.6245
0.0,0.36,1.5255
0.0,0.37,1.47525
0.0,0.38,1.5167499999999998
0.0,0.39,1.5257499999999997
0.0,0.4,1.5255000000000003
0.0,0.41000000000000003,1.4637499999999999
0.0,0.42,1.415
0.0,0.43,1.4405
0.0,0.44,1.3805
0.0,0.45,1.3605
0.0,0.46,1.39675
0.0,0.47000000000000003,1.35675
0.0,0.48,1.32375
0.0,0.49,1.3050000000000002
0.0,0.5,1.3190000000000002
0.0,0.51,1.2847499999999998
0.0,0.52,1.2875
0.0,0.53,1.2567499999999998
0.0,0.54,1.2577500000000001
0.0,0.55,1.26775
0.0,0.56,1.2259999999999998
0.0,0.5700000000000001,1.2182500000000003
0.0,0.58,1.1927500000000002
0.0,0.59,1.17625
0.0,0.6,1.1965
0.0,0.61,1.1705
0.0,0.62,1.14825
0.0,0.63,1.12775
0.0,0.64,1.1170000000000002
0.0,0.65,1.1122499999999997
0.0,0.66,1.0725
0.0,0.67,1.09225
0.0,0.68,1.08525
0.0,0.6900000000000001,1.0272500000000002
0.0,0.7000000000000001,1.05875
0.0,0.71,1.02925
0.0,0.72,1.0357500000000002
0.0,0.73,1.03625
0.0,0.74,0.9942500000000001
0.0,0.75,0.9847499999999998
0.0,0.76,0.9565000000000001
0.0,0.77,0.9550000000000001
0.0,0.78,0.9577500000000001
0.0,0.79,0.9564999999999999
0.0,0.8,0.9324999999999999
0.0,0.81,0.93125
0.0,0.8200000000000001,0.9352499999999999
0.0,0.8300000000000001,0.9162499999999998
0.0,0.84,0.91075
0.0,0.85,0.9087500000000001
0.0,0.86,0.8807500000000001
0.0,0.87,0.9022500000000001
0.0,0.88,0.8770000000000001
0.0,0.89,0.87675
0.0,0.9,0.8542500000000001
0.0,0.91,0.8370000000000001
0.0,0.92,0.8444999999999998
0.0,0.93,0.821
0.0,0.9400000000000001,0.8195
0.0,0.9500000000000001,0.8207500000000001
0.0,0.96,0.80475
0.0,0.97,0.7962500000000001
0.0,0.98,0.7915
0.0,0.99,0.7877500000000001
0.0,1.0,0.7735000000000001
0.01,0.0,3.0
0.01,0.01,2.892
0.01,0.02,2.8555
0.01,0.03,2.76175
0.01,0.04,2.6765
0.01,0.05,2.6267499999999995
0.01,0.06,2.60275
0.01,0.07,2.5637500000000006
0.01,0.08,2.4807499999999996
0.01,0.09,2.4360000000000004
0.01,0.1,2.4404999999999997
0.01,0.11,2.3560000000000003
0.01,0.12,2.31525
0.01,0.13,2.273
0.01,0.14,2.21175
0.01,0.15,2.138
0.01,0.16,2.1532499999999994
0.01,0.17,2.1115000000000004
0.01,0.18,2.07375
0.01,0.19,2.0014999999999996
0.01,0.2,1.9857500000000001
0.01,0.21,1.9594999999999998
0.01,0.22,1.9404999999999997
0.01,0.23,1.9515
0.01,0.24,1.9402499999999996
0.01,0.25,1.8715
0.01,0.26,1.8250000000000004
0.01,0.27,1.7675
0.01,0.28,1.7730000000000001
0.01,0.29,1.7017499999999999
0.01,0.3,1.6735
0.01,0.31,1.69
0.01,0.32,1.669
0.01,0.33,1.6912499999999997
0.01,0.34,1.63475
0.01,0.35000000000000003,1.6300000000000001
0.01,0.36,1.605
0.01,0.37,1.6039999999999999
0.01,0.38,1.5590000000000002
0.01,0.39,1.53075
0.01,0.4,1.53825
0.01,0.41000000000000003,1.529
0.01,0.42,1.4965
0.01,0.43,1.53375
0.01,0.44,1.4045
0.01,0.45,1.41725
0.01,0.46,1.3890000000000002
0.01,0.47000000000000003,1.39575
0.01,0.48,1.3695
0.01,0.49,1.38225
0.01,0.5,1.2834999999999999
0.01,0.51,1.2945
0.01,0.52,1.3337499999999998
0.01,0.53,1.29375
0.01,0.54,1.28525
0.01,0.55,1.269
0.01,0.56,1.2805000000000002
0.01,0.5700000000000001,1.185
0.01,0.58,1.2087499999999998
0.01,0.59,1.204
0.01,0.6,1.18675
0.01,0.61,1.179
0.01,0.62,1.173
0.01,0.63,1.16075
0.01,0.64,1.10725
0.01,0.65,1.116
0.01,0.66,1.1582500000000002
0.01,0.67,1.1119999999999999
0.01,0.68,1.10025
0.01,0.6900000000000001,1.0772499999999998
0.01,0.7000000000000001,1.06075
0.01,0.71,1.056
0.01,0.72,1.05625
0.01,0.73,1.0539999999999998
0.01,0.74,1.0074999999999998
0.01,0.75,0.9995
0.01,0.76,0.9970000000000001
0.01,0.77,0.9887499999999999
0.01,0.78,1.0057499999999997
0.01,0.79,0.96
0.01,0.8,0.9557500000000001
0.01,0.81,0.9494999999999998
0.01,0.8200000000000001,0.9365
0.01,0.8300000000000001,0.93025
0.01,0.84,0.9202500000000002
