x,y,score
0.46,0.76,1.9897
0.54,0.86,1.9951
0.16,0.19,2.12025
0.61,0.18,2.8144
0.82,0.41,2.6887
0.72,0.66,2.3534
0.63,0.37,2.58155
0.41,0.28,2.4457
0.16,0.44,1.7388
0.8,0.33,2.73775
0.84,0.23,2.89855
0.25,0.48,1.9117
0.62,0.7,2.2329
0.78,0.28,2.7947
0.03,0.68,1.132
0.57,0.0,3.1113
0.69,0.37,2.6242
0.46,0.05,2.94465
0.65,0.03,3.0913
0.56,0.8,2.071
0.28,0.44,1.9857
0.65,0.0,3.14565
0.57,0.1,2.9279
0.44,0.29,2.4942
0.63,0.49,2.43925
0.26,0.03,2.74275
0.92,0.27,2.89665
0.69,0.35,2.6373
0.79,0.78,2.3248
0.3,0.26,2.30525
0.98,0.54,2.6607
0.25,0.62,1.76065
0.55,0.43,2.42315
0.19,0.06,2.51975
0.14,0.65,1.4867
0.09,0.65,1.34495
0.92,1.0,2.2674
0.51,0.43,2.3761
0.36,0.66,1.9122
0.33,0.92,1.67045
0.01,0.93,0.94515
0.25,0.81,1.60395
0.9,0.46,2.69425
0.3,0.12,2.57985
0.87,0.59,2.5328
0.8,0.75,2.3561
0.93,0.2,2.98115
0.34,0.41,2.1838
0.05,0.48,1.3669
0.9,0.12,3.0676
0.59,0.65,2.23565
0.72,0.62,2.39665
0.29,0.87,1.61445
0.02,0.72,1.0716
0.8,0.35,2.72075
0.09,0.22,1.8558
0.05,0.61,1.25445
0.49,0.38,2.4176
0.62,0.21,2.7842
0.79,0.55,2.52025
0.64,0.52,2.4022
0.17,0.15,2.2323
0.45,0.81,1.92685
0.48,0.8,1.9787
0.51,0.39,2.41085
0.62,0.39,2.5557
0.58,0.64,2.23995
0.8,0.62,2.46985
0.6,0.07,2.9961
0.35,0.87,1.7269
0.85,0.83,2.3152
0.96,0.89,2.3577
0.68,0.4,2.5812
0.13,0.15,2.11115
0.14,0.31,1.8586
0.15,0.88,1.33
0.72,0.97,2.10865
0.56,0.33,2.57075
0.52,0.26,2.61945
0.99,0.97,2.32855
0.9,0.63,2.53885
0.31,0.47,2.0288
0.98,0.8,2.43315
0.31,0.34,2.23325
0.22,0.4,1.94815
0.87,0.37,2.76065
0.76,0.43,2.619
0.79,0.76,2.3266
0.83,0.38,2.70725
0.74,0.12,2.9794
0.68,0.51,2.4599
0.56,0.43,2.4362
0.63,0.01,3.1181
0.45,0.24,2.5676
0.52,0.13,2.8357
0.64,0.47,2.4765
0.51,0.91,1.933
0.78,0.92,2.19045
0.92,0.54,2.5977
0.75,0.83,2.2382
0.72,0.5,2.52075
0.53,0.74,2.09545
0.82,0.88,2.2672
0.63,0.35,2.5917
0.8,0.56,2.5121
0.99,0.8,2.4334
0.69,0.67,2.3265
0.44,0.43,2.2877
0.71,0.62,2.3748
0.63,0.08,2.9781
0.48,0.4,2.3715
0.93,0.51,2.6438
0.65,0.12,2.9413
0.78,0.34,2.74765
0.17,0.41,1.79745
0.59,0.93,1.99055
0.98,0.65,2.5705
0.89,0.49,2.6507
0.09,0.48,1.5011
0.98,0.94,2.32625
0.6,0.72,2.17145
0.74,0.48,2.5601
0.48,0.19,2.69355
0.15,0.11,2.30885
0.86,0.55,2.56905
0.97,0.56,2.62575
1.0,0.64,2.57845
0.43,0.66,2.01075
0.85,0.2,2.9245
0.02,0.64,1.1346
0.26,0.02,2.7829
0.12,0.68,1.39965
0.66,0.15,2.89855
0.75,0.58,2.4588
0.04,0.92,1.0283
0.15,0.58,1.5562
0.4,0.84,1.818
0.94,0.97,2.2956
0.64,0.08,3.0042
0.08,0.63,1.3232
0.81,0.9,2.2477
0.21,0.79,1.51635
0.21,0.13,2.39305
0.82,0.12,3.03555
0.77,0.84,2.246
0.76,0.89,2.20875
0.06,0.34,1.56475
0.92,0.45,2.70855
0.41,0.87,1.81365
0.11,0.48,1.54655
0.67,0.53,2.4333
0.36,0.88,1.74625
0.47,0.6,2.14875
0.34,0.03,2.86535
0.79,0.95,2.193
0.24,0.56,1.7991
0.17,0.32,1.91985
0.59,0.26,2.69725
0.59,0.68,2.18275
1.0,0.57,2.62815
0.63,0.84,2.10265
0.72,0.58,2.42545
0.84,0.68,2.45425
0.07,0.87,1.1575
0.71,0.48,2.5197
0.27,0.76,1.66915
0.2,0.43,1.85325
0.25,0.83,1.59065
0.74,0.97,2.14055
0.56,0.06,2.98485
0.77,0.18,2.911
0.61,0.23,2.73105
0.73,0.56,2.4604
0.4,0.67,1.97375
0.93,0.15,3.0337
0.37,0.3,2.363
0.89,0.6,2.55085
0.32,0.92,1.6438
0.97,0.95,2.31965
0.96,0.12,3.0733
0.74,0.25,2.80725
0.47,0.92,1.87035
0.13,0.43,1.6923
0.8,0.68,2.41645
0.01,0.53,1.16865
0.69,0.03,3.11445
0.73,0.82,2.2341
0.97,0.94,2.34595
0.9,1.0,2.2556
0.08,0.23,1.82275
0.82,0.79,2.32495
0.42,0.46,2.23165
0.62,0.93,2.0416
0.71,0.43,2.589
0.77,0.04,3.1133
0.97,0.53,2.68325
0.73,0.22,2.84315
0.59,0.14,2.86915
0.5,0.81,1.9926
0.4,1.0,1.7199
0.89,0.12,3.0537
0.05,0.83,1.1071
0.19,0.67,1.5908
0.97,0.93,2.31705
0.69,0.2,2.8455
0.72,0.64,2.37735
0.94,0.47,2.6916
0.81,0.73,2.37775
0.5,0.86,1.95845
0.15,0.5,1.64
0.45,0.28,2.49295
0.48,0.93,1.8691
0.15,0.25,1.9669
0.32,0.14,2.59355
0.62,0.38,2.54715
0.48,0.51,2.2528
0.61,0.92,2.04475
0.34,0.82,1.74875
0.39,0.43,2.1983
0.89,0.11,3.0558
0.67,0.3,2.684
0.15,0.26,1.9535
0.72,0.21,2.84765
0.57,0.41,2.4703
0.01,0.09,1.78535
0.55,0.84,2.0348
0.85,0.24,2.8941
0.53,0.07,2.9472
0.81,0.85,2.2789
0.65,0.79,2.1751
0.08,0.01,2.38285
0.62,0.24,2.7503
0.28,0.85,1.6185
0.12,0.31,1.80995
0.04,0.88,1.04445
0.25,0.42,1.9798
0.29,0.34,2.15465
