x,y,score
0.46,0.76,1.97265
0.54,0.86,2.0317
0.16,0.19,2.0767
0.61,0.18,2.95565
0.82,0.41,2.9451
0.72,0.66,2.5202
0.63,0.37,2.7321
0.41,0.28,2.4925
0.16,0.44,1.73965
0.8,0.33,3.0111
0.84,0.23,3.1882
0.25,0.48,1.89485
0.62,0.7,2.32985
0.78,0.28,3.04375
0.03,0.68,1.1283
0.57,0.0,3.1821
0.69,0.37,2.8047
0.46,0.05,2.94595
0.65,0.03,3.24725
0.56,0.8,2.1218
0.28,0.44,2.0209
0.65,0.0,3.2959
0.57,0.1,3.03135
0.44,0.29,2.5293
0.63,0.49,2.56435
0.26,0.03,2.63175
0.92,0.27,3.2178
0.69,0.35,2.8284
0.79,0.78,2.479
0.3,0.26,2.28875
0.98,0.54,3.00205
0.25,0.62,1.73155
0.55,0.43,2.52065
0.19,0.06,2.3843
0.14,0.65,1.4461
0.09,0.65,1.3316
0.92,1.0,2.44245
0.51,0.43,2.4566
0.36,0.66,1.8944
0.33,0.92,1.5737
0.01,0.93,0.8251
0.25,0.81,1.505
0.9,0.46,2.97175
0.3,0.12,2.5201
0.87,0.59,2.7985
0.8,0.75,2.53085
0.93,0.2,3.3206
0.34,0.41,2.1943
0.05,0.48,1.41755
0.9,0.12,3.3899
0.59,0.65,2.32975
0.72,0.62,2.5391
0.29,0.87,1.5244
0.02,0.72,1.068
0.8,0.35,2.97455
0.09,0.22,1.89865
0.05,0.61,1.2662
0.49,0.38,2.48535
0.62,0.21,2.9386
0.79,0.55,2.7468
0.64,0.52,2.53445
0.17,0.15,2.1807
0.45,0.81,1.9318
0.48,0.8,1.99335
0.51,0.39,2.502
0.62,0.39,2.6777
0.58,0.64,2.3081
0.8,0.62,2.6963
0.6,0.07,3.1252
0.35,0.87,1.6521
0.85,0.83,2.5289
0.96,0.89,2.5973
0.68,0.4,2.7645
0.13,0.15,2.1024
0.14,0.31,1.8697
0.15,0.88,1.2204
0.72,0.97,2.18365
0.56,0.33,2.6645
0.52,0.26,2.69415
0.99,0.97,2.57865
0.9,0.63,2.76535
0.31,0.47,2.0285
0.98,0.8,2.71565
0.31,0.34,2.2114
0.22,0.4,1.9182
0.87,0.37,3.04365
0.76,0.43,2.86415
0.79,0.76,2.5123
0.83,0.38,2.98325
0.74,0.12,3.22455
0.68,0.51,2.63285
0.56,0.43,2.56205
0.63,0.01,3.2644
0.45,0.24,2.62545
0.52,0.13,2.9143
0.64,0.47,2.61
0.51,0.91,1.92365
0.78,0.92,2.32045
0.92,0.54,2.91775
0.75,0.83,2.3565
