x,y,score
0.46,0.76,0.74445
0.54,0.86,0.41655
0.16,0.19,2.4133
0.61,0.18,2.81675
0.82,0.41,2.15265
0.72,0.66,1.04885
0.63,0.37,2.13135
0.41,0.28,2.2864
0.16,0.44,1.70225
0.8,0.33,2.49705
0.84,0.23,2.98565
0.25,0.48,1.57105
0.62,0.7,0.9058
0.78,0.28,2.7003
0.03,0.68,0.9652
0.57,0.0,3.24645
0.69,0.37,2.211
0.46,0.05,2.9887
0.65,0.03,3.2885
0.56,0.8,0.62145
0.28,0.44,1.73105
0.65,0.0,3.3598
0.57,0.1,2.9781
0.44,0.29,2.30425
0.63,0.49,1.63055
0.26,0.03,2.84225
0.92,0.27,2.97395
0.69,0.35,2.2919
0.79,0.78,0.6826
0.3,0.26,2.30395
0.98,0.54,1.69425
0.25,0.62,1.13355
0.55,0.43,1.87575
0.19,0.06,2.71715
0.14,0.65,1.0631
0.09,0.65,1.04855
0.92,1.0,0.0
0.51,0.43,1.8896
0.36,0.66,1.03175
0.33,0.92,0.23665
0.01,0.93,0.21005
0.25,0.81,0.55955
0.9,0.46,1.9821
0.3,0.12,2.6747
0.87,0.59,1.27615
0.8,0.75,0.76325
0.93,0.2,3.24875
0.34,0.41,1.85025
0.05,0.48,1.56355
0.9,0.12,3.48645
0.59,0.65,1.05805
0.72,0.62,1.16745
0.29,0.87,0.39555
0.02,0.72,0.8465
0.8,0.35,2.4473
0.09,0.22,2.28115
0.05,0.61,1.1803
0.49,0.38,2.0536
0.62,0.21,2.7404
0.79,0.55,1.44525
0.64,0.52,1.53235
0.17,0.15,2.49985
0.45,0.81,0.5746
0.48,0.8,0.60345
0.51,0.39,2.042
0.62,0.39,2.0722
0.58,0.64,1.08935
0.8,0.62,1.1837
0.6,0.07,3.09805
0.35,0.87,0.39395
0.85,0.83,0.5241
0.96,0.89,0.34075
0.68,0.4,2.0849
0.13,0.15,2.45435
0.14,0.31,2.0664
0.15,0.88,0.3599
0.72,0.97,0.09035
0.56,0.33,2.22895
0.52,0.26,2.4422
0.99,0.97,0.0918
0.9,0.63,1.1689
0.31,0.47,1.67045
0.98,0.8,0.66865
0.31,0.34,2.0537
0.22,0.4,1.8406
0.87,0.37,2.39945
0.76,0.43,1.9937
0.79,0.76,0.73245
0.83,0.38,2.35105
0.74,0.12,3.1892
0.68,0.51,1.5875
0.56,0.43,1.865
0.63,0.01,3.3098
0.45,0.24,2.46265
0.52,0.13,2.8462
0.64,0.47,1.76725
0.51,0.91,0.2727
0.78,0.92,0.22825
0.92,0.54,1.5171
0.75,0.83,0.51665
0.72,0.5,1.65825
0.53,0.74,0.78585
0.82,0.88,0.3566
0.63,0.35,2.22395
0.8,0.56,1.40565
0.99,0.8,0.71455
0.69,0.67,1.0208
0.44,0.43,1.8317
0.71,0.62,1.16935
0.63,0.08,3.1161
0.48,0.4,1.98275
0.93,0.51,1.7117
0.65,0.12,3.0373
0.78,0.34,2.4539
0.17,0.41,1.78605
0.59,0.93,0.20725
0.98,0.65,1.19105
