x,y,score
0.46,0.76,2.49195
0.54,0.86,2.4692
0.16,0.19,1.7103
0.61,0.18,3.429
0.82,0.41,4.25
0.72,0.66,3.77155
0.63,0.37,3.48905
0.41,0.28,2.61955
0.16,0.44,1.65555
0.8,0.33,4.18985
0.84,0.23,4.34795
0.25,0.48,1.97325
0.62,0.7,3.32515
0.78,0.28,4.109
0.03,0.68,1.11955
0.57,0.0,3.2927
0.69,0.37,3.71955
0.46,0.05,2.8527
0.65,0.03,3.5883
0.56,0.8,2.86265
0.28,0.44,2.08555
0.65,0.0,3.60105
0.57,0.1,3.2711
0.44,0.29,2.76325
0.63,0.49,3.44725
0.26,0.03,2.11995
0.92,0.27,4.6644
0.69,0.35,3.72875
0.79,0.78,4.0769
0.3,0.26,2.23465
0.98,0.54,4.9176
0.25,0.62,1.9342
0.55,0.43,3.1388
0.19,0.06,1.86925
0.14,0.65,1.54205
0.09,0.65,1.35455
0.92,1.0,4.49095
0.51,0.43,2.9446
0.36,0.66,2.17525
0.33,0.92,1.6484
0.01,0.93,1.03685
0.25,0.81,1.6883
0.9,0.46,4.5785
0.3,0.12,2.26465
0.87,0.59,4.4421
0.8,0.75,4.14145
0.93,0.2,4.709
0.34,0.41,2.3171
0.05,0.48,1.21075
0.9,0.12,4.6063
0.59,0.65,3.1886
0.72,0.62,3.8035
0.29,0.87,1.733
0.02,0.72,1.08465
0.8,0.35,4.1756
0.09,0.22,1.3963
0.05,0.61,1.20265
0.49,0.38,2.882
0.62,0.21,3.47545
0.79,0.55,4.1316
0.64,0.52,3.4724
0.17,0.15,1.7637
0.45,0.81,2.29815
0.48,0.8,2.537
0.51,0.39,2.9515
0.62,0.39,3.4273
0.58,0.64,3.1564
0.8,0.62,4.17075
0.6,0.07,3.4099
0.35,0.87,1.75275
0.85,0.83,4.3035
0.96,0.89,4.8178
0.68,0.4,3.6726
0.13,0.15,1.58505
0.14,0.31,1.59265
0.15,0.88,1.48975
0.72,0.97,3.05895
0.56,0.33,3.1938
0.52,0.26,3.05465
0.99,0.97,4.9423
0.9,0.63,4.5674
0.31,0.47,2.1948
0.98,0.8,4.912
0.31,0.34,2.2611
0.22,0.4,1.90005
0.87,0.37,4.46585
0.76,0.43,4.02545
0.79,0.76,4.0963
0.83,0.38,4.29295
0.74,0.12,3.97885
0.68,0.51,3.6456
0.56,0.43,3.1732
0.63,0.01,3.5266
0.45,0.24,2.7863
0.52,0.13,3.06025
0.64,0.47,3.4751
0.51,0.91,2.24145
0.78,0.92,3.71905
0.92,0.54,4.6449
0.75,0.83,3.8815
0.72,0.5,3.85355
0.53,0.74,2.7847
0.82,0.88,4.01345
0.63,0.35,3.4699
0.8,0.56,4.15885
0.99,0.8,4.9468
0.69,0.67,3.6286
0.44,0.43,2.648
0.71,0.62,3.7846
0.63,0.08,3.5313
0.48,0.4,2.8467
0.93,0.51,4.69615
0.65,0.12,3.5899
0.78,0.34,4.078
0.17,0.41,1.71945
0.59,0.93,2.35465
0.98,0.65,4.90435
0.89,0.49,4.54865
