x,y,score
0.46,0.76,1.5886
0.54,0.86,1.56175
0.16,0.19,2.41545
0.61,0.18,2.51135
0.82,0.41,2.1178
0.72,0.66,1.79015
0.63,0.37,2.12735
0.41,0.28,2.2375
0.16,0.44,1.73925
0.8,0.33,2.22235
0.84,0.23,2.4193
0.25,0.48,1.75135
0.62,0.7,1.7307
0.78,0.28,2.32005
0.03,0.68,1.1108
0.57,0.0,3.0
0.69,0.37,2.1303
0.46,0.05,2.85295
0.65,0.03,2.9123
0.56,0.8,1.61205
0.28,0.44,1.84635
0.65,0.0,3.0
0.57,0.1,2.715
0.44,0.29,2.2228
0.63,0.49,1.95765
0.26,0.03,2.91535
0.92,0.27,2.35935
0.69,0.35,2.17765
0.79,0.78,1.72455
0.3,0.26,2.2458
0.98,0.54,1.99245
0.25,0.62,1.5578
0.55,0.43,1.9963
0.19,0.06,2.81625
0.14,0.65,1.39435
0.09,0.65,1.2924
0.92,1.0,1.65705
0.51,0.43,1.99005
0.36,0.66,1.60555
0.33,0.92,1.387
0.01,0.93,0.9726
0.25,0.81,1.3891
0.9,0.46,2.06215
0.3,0.12,2.6354
0.87,0.59,1.9073
0.8,0.75,1.76425
0.93,0.2,2.4936
0.34,0.41,1.9345
0.05,0.48,1.4061
0.9,0.12,2.6647
0.59,0.65,1.7598
0.72,0.62,1.8409
0.29,0.87,1.3857
0.02,0.72,1.0589
0.8,0.35,2.20195
0.09,0.22,2.2526
0.05,0.61,1.2423
0.49,0.38,2.0627
0.62,0.21,2.43185
0.79,0.55,1.92105
0.64,0.52,1.9011
0.17,0.15,2.53375
0.45,0.81,1.55115
0.48,0.8,1.5729
0.51,0.39,2.05025
0.62,0.39,2.0897
0.58,0.64,1.754
0.8,0.62,1.85905
0.6,0.07,2.79965
0.35,0.87,1.4333
0.85,0.83,1.7208
0.96,0.89,1.71935
0.68,0.4,2.0941
0.13,0.15,2.52305
0.14,0.31,2.026
0.15,0.88,1.226
0.72,0.97,1.59755
0.56,0.33,2.17445
0.52,0.26,2.3167
0.99,0.97,1.688
0.9,0.63,1.90165
0.31,0.47,1.8207
0.98,0.8,1.7791
0.31,0.34,2.07995
0.22,0.4,1.8561
0.87,0.37,2.1784
0.76,0.43,2.0681
0.79,0.76,1.7461
0.83,0.38,2.15735
0.74,0.12,2.66705
0.68,0.51,1.9448
0.56,0.43,1.99785
0.63,0.01,2.97025
0.45,0.24,2.33355
0.52,0.13,2.63
0.64,0.47,1.9732
0.51,0.91,1.50905
0.78,0.92,1.63525
0.92,0.54,1.9745
0.75,0.83,1.67865
0.72,0.5,1.96175
0.53,0.74,1.62825
0.82,0.88,1.6781
0.63,0.35,2.16455
0.8,0.56,1.92875
0.99,0.8,1.78505
0.69,0.67,1.7654
0.44,0.43,1.95825
0.71,0.62,1.82795
0.63,0.08,2.77465
0.48,0.4,2.0212
0.93,0.51,2.0236
0.65,0.12,2.66035
0.78,0.34,2.2033
0.17,0.41,1.7942
0.59,0.93,1.54515
0.98,0.65,1.89345
0.89,0.49,2.02965
0.09,0.48,1.51965
0.98,0.94,1.7099
0.6,0.72,1.6958
0.74,0.48,2.0131
0.48,0.19,2.4658
0.15,0.11,2.6656
0.86,0.55,1.94545
0.97,0.56,1.9769
1.0,0.64,1.89825
0.43,0.66,1.6642
0.85,0.2,2.4859
0.02,0.64,1.1046
0.26,0.02,2.94175
0.12,0.68,1.3355
0.66,0.15,2.59635
0.75,0.58,1.89455
0.04,0.92,1.03525
0.15,0.58,1.46805
0.4,0.84,1.5002
0.94,0.97,1.6857
0.64,0.08,2.7751
0.08,0.63,1.279
0.81,0.9,1.66425
0.21,0.79,1.35495
0.21,0.13,2.603
0.82,0.12,2.67055
0.77,0.84,1.67385
0.76,0.89,1.65125
0.06,0.34,1.8108
0.92,0.45,2.07455
0.41,0.87,1.48865
0.11,0.48,1.58395
0.67,0.53,1.90365
0.36,0.88,1.4369
0.47,0.6,1.7557
0.34,0.03,2.9113
0.79,0.95,1.6381
0.24,0.56,1.62475
0.17,0.32,2.02995
0.59,0.26,2.3267
0.59,0.68,1.71955
1.0,0.57,1.96435
0.63,0.84,1.62975
0.72,0.58,1.8629
0.84,0.68,1.8231
0.07,0.87,1.10305
0.71,0.48,1.9856
0.27,0.76,1.4385
0.2,0.43,1.7984
0.25,0.83,1.3778
0.74,0.97,1.6082
0.56,0.06,2.82505
0.77,0.18,2.52555
0.61,0.23,2.3887
0.73,0.56,1.9094
0.4,0.67,1.64785
0.93,0.15,2.60195
0.37,0.3,2.17535
