x,y,score
0.46,0.76,1.6117
0.54,0.86,1.6181
0.16,0.19,2.3894
0.61,0.18,2.5001
0.82,0.41,2.09605
0.72,0.66,1.8186
0.63,0.37,2.1179
0.41,0.28,2.22715
0.16,0.44,1.69405
0.8,0.33,2.21825
0.84,0.23,2.40835
0.25,0.48,1.73205
0.62,0.7,1.75495
0.78,0.28,2.31665
0.03,0.68,1.111
0.57,0.0,3.0
0.69,0.37,2.12465
0.46,0.05,2.85455
0.65,0.03,2.913
0.56,0.8,1.662
0.28,0.44,1.845
0.65,0.0,3.0
0.57,0.1,2.705
0.44,0.29,2.21935
0.63,0.49,1.9408
0.26,0.03,2.90415
0.92,0.27,2.34605
0.69,0.35,2.1594
0.79,0.78,1.7867
0.3,0.26,2.2552
0.98,0.54,2.0144
0.25,0.62,1.54595
0.55,0.43,1.9855
0.19,0.06,2.819
0.14,0.65,1.3594
0.09,0.65,1.29065
0.92,1.0,1.75705
0.51,0.43,1.96715
0.36,0.66,1.62795
0.33,0.92,1.42775
0.01,0.93,1.01315
0.25,0.81,1.41185
0.9,0.46,2.0667
0.3,0.12,2.64505
0.87,0.59,1.9334
0.8,0.75,1.7995
0.93,0.2,2.47965
0.34,0.41,1.92505
0.05,0.48,1.35355
0.9,0.12,2.67025
0.59,0.65,1.76455
0.72,0.62,1.8463
0.29,0.87,1.4204
0.02,0.72,1.07125
0.8,0.35,2.18335
0.09,0.22,2.23745
0.05,0.61,1.21595
0.49,0.38,2.04475
0.62,0.21,2.43015
0.79,0.55,1.92555
0.64,0.52,1.92075
0.17,0.15,2.52665
0.45,0.81,1.57075
0.48,0.8,1.6046
0.51,0.39,2.0373
0.62,0.39,2.0681
0.58,0.64,1.7671
0.8,0.62,1.8784
0.6,0.07,2.80055
0.35,0.87,1.4781
0.85,0.83,1.7835
0.96,0.89,1.81185
0.68,0.4,2.09215
0.13,0.15,2.5151
0.14,0.31,2.01455
0.15,0.88,1.2609
0.72,0.97,1.6757
0.56,0.33,2.16345
0.52,0.26,2.3006
0.99,0.97,1.7942
0.9,0.63,1.90865
0.31,0.47,1.80535
0.98,0.8,1.85595
0.31,0.34,2.04765
0.22,0.4,1.86225
0.87,0.37,2.16435
0.76,0.43,2.05595
0.79,0.76,1.793
0.83,0.38,2.13555
0.74,0.12,2.65695
0.68,0.51,1.93845
0.56,0.43,1.9978
0.63,0.01,2.96755
0.45,0.24,2.33005
0.52,0.13,2.6262
0.64,0.47,1.9529
0.51,0.91,1.5691
0.78,0.92,1.71875
0.92,0.54,1.9917
0.75,0.83,1.7379
0.72,0.5,1.96525
0.53,0.74,1.66475
0.82,0.88,1.75575
0.63,0.35,2.15685
0.8,0.56,1.93245
0.99,0.8,1.8577
0.69,0.67,1.8009
0.44,0.43,1.9461
0.71,0.62,1.84925
0.63,0.08,2.76425
0.48,0.4,2.009
0.93,0.51,2.02355
0.65,0.12,2.63995
0.78,0.34,2.21135
0.17,0.41,1.7853
0.59,0.93,1.61405
0.98,0.65,1.93305
0.89,0.49,2.03325
0.09,0.48,1.4931
0.98,0.94,1.7988
0.6,0.72,1.72395
0.74,0.48,2.00055
0.48,0.19,2.46685
0.15,0.11,2.64885
0.86,0.55,1.9697
0.97,0.56,1.9999
1.0,0.64,1.9457
0.43,0.66,1.6687
0.85,0.2,2.4757
0.02,0.64,1.10015
0.26,0.02,2.94
0.12,0.68,1.32095
0.66,0.15,2.5768
0.75,0.58,1.8972
0.04,0.92,1.0759
0.15,0.58,1.475
0.4,0.84,1.5293
0.94,0.97,1.77185
0.64,0.08,2.7495
0.08,0.63,1.2849
0.81,0.9,1.73655
0.21,0.79,1.3814
0.21,0.13,2.60175
0.82,0.12,2.681
0.77,0.84,1.7453
0.76,0.89,1.7174
0.06,0.34,1.74415
0.92,0.45,2.07995
0.41,0.87,1.51595
0.11,0.48,1.53555
0.67,0.53,1.9001
0.36,0.88,1.4741
0.47,0.6,1.73885
0.34,0.03,2.90335
0.79,0.95,1.71315
0.24,0.56,1.6112
0.17,0.32,2.0083
0.59,0.26,2.309
0.59,0.68,1.7473
1.0,0.57,1.983
0.63,0.84,1.672
0.72,0.58,1.8929
0.84,0.68,1.8617
0.07,0.87,1.13055
0.71,0.48,1.9909
0.27,0.76,1.45525
0.2,0.43,1.78805
0.25,0.83,1.40395
0.74,0.97,1.6791
0.56,0.06,2.82335
0.77,0.18,2.52255
0.61,0.23,2.375
0.73,0.56,1.91965
0.4,0.67,1.6323
0.93,0.15,2.59065
0.37,0.3,2.17735
0.89,0.6,1.9337
0.32,0.92,1.4345
0.97,0.95,1.79165
0.96,0.12,2.6734
0.74,0.25,2.3525
0.47,0.92,1.54635
0.13,0.43,1.67665
0.8,0.68,1.8397
0.01,0.53,1.1162
0.69,0.03,2.9126
0.73,0.82,1.7399
0.97,0.94,1.7979
0.9,1.0,1.75055
0.08,0.23,2.2021
0.82,0.79,1.79135
0.42,0.46,1.88475
0.62,0.93,1.63085
0.71,0.43,2.0502
0.77,0.04,2.8813
0.97,0.53,2.00995
0.73,0.22,2.41515
0.59,0.14,2.6051
0.5,0.81,1.61185
0.4,1.0,1.4621
0.89,0.12,2.67235
0.05,0.83,1.1135
0.19,0.67,1.45085
0.97,0.93,1.80015
0.69,0.2,2.4535
0.72,0.64,1.8375
0.94,0.47,2.06985
0.81,0.73,1.81465
0.5,0.86,1.5887
0.15,0.5,1.5862
0.45,0.28,2.2429
0.48,0.93,1.54735
0.15,0.25,2.19715
0.32,0.14,2.57565
0.62,0.38,2.08495
0.48,0.51,1.83975
0.61,0.92,1.6273
0.34,0.82,1.48395
0.39,0.43,1.92695
0.89,0.11,2.7013
0.67,0.3,2.2478
0.15,0.26,2.17205
0.72,0.21,2.4474
0.57,0.41,2.03275
