x,y,score
0.46,0.76,1.9722
0.54,0.86,1.99745
0.16,0.19,2.18385
0.61,0.18,2.72515
0.82,0.41,2.54385
0.72,0.66,2.291
0.63,0.37,2.48275
0.41,0.28,2.43745
0.16,0.44,1.71465
0.8,0.33,2.61975
0.84,0.23,2.7302
0.25,0.48,1.9065
0.62,0.7,2.18345
0.78,0.28,2.66575
0.03,0.68,1.1259
0.57,0.0,3.0
0.69,0.37,2.5296
0.46,0.05,2.89335
0.65,0.03,2.95355
0.56,0.8,2.05255
0.28,0.44,2.04345
0.65,0.0,3.0
0.57,0.1,2.8242
0.44,0.29,2.4339
0.63,0.49,2.3694
0.26,0.03,2.88725
0.92,0.27,2.72205
0.69,0.35,2.5504
0.79,0.78,2.25025
0.3,0.26,2.3212
0.98,0.54,2.5133
0.25,0.62,1.77005
0.55,0.43,2.36185
0.19,0.06,2.70775
0.14,0.65,1.4847
0.09,0.65,1.3579
0.92,1.0,2.20075
0.51,0.43,2.3391
0.36,0.66,1.9326
0.33,0.92,1.71715
0.01,0.93,1.02545
0.25,0.81,1.63265
0.9,0.46,2.54365
0.3,0.12,2.6218
0.87,0.59,2.4281
0.8,0.75,2.27775
0.93,0.2,2.79465
0.34,0.41,2.15075
0.05,0.48,1.28065
0.9,0.12,2.8694
0.59,0.65,2.1964
0.72,0.62,2.32935
0.29,0.87,1.67955
0.02,0.72,1.07205
0.8,0.35,2.6084
0.09,0.22,1.82395
0.05,0.61,1.2238
0.49,0.38,2.3743
0.62,0.21,2.6847
0.79,0.55,2.40955
0.64,0.52,2.344
0.17,0.15,2.30575
0.45,0.81,1.92825
0.48,0.8,1.9758
0.51,0.39,2.3773
0.62,0.39,2.46665
0.58,0.64,2.1889
0.8,0.62,2.36495
0.6,0.07,2.88285
0.35,0.87,1.7668
0.85,0.83,2.25595
0.96,0.89,2.2801
0.68,0.4,2.4929
0.13,0.15,2.23335
0.14,0.31,1.82185
0.15,0.88,1.4129
0.72,0.97,2.0868
0.56,0.33,2.49585
0.52,0.26,2.5488
0.99,0.97,2.25365
0.9,0.63,2.41465
0.31,0.47,2.05295
0.98,0.8,2.33735
0.31,0.34,2.22195
0.22,0.4,1.937
0.87,0.37,2.61025
0.76,0.43,2.50725
0.79,0.76,2.2566
0.83,0.38,2.57995
0.74,0.12,2.84395
0.68,0.51,2.3827
0.56,0.43,2.372
0.63,0.01,2.98415
0.45,0.24,2.54725
0.52,0.13,2.75835
0.64,0.47,2.3902
0.51,0.91,1.9338
0.78,0.92,2.16245
0.92,0.54,2.49065
0.75,0.83,2.18905
0.72,0.5,2.41585
0.53,0.74,2.0716
0.82,0.88,2.2109
0.63,0.35,2.5157
0.8,0.56,2.40805
0.99,0.8,2.34215
0.69,0.67,2.2582
0.44,0.43,2.26025
0.71,0.62,2.31135
0.63,0.08,2.8751
0.48,0.4,2.3285
0.93,0.51,2.51975
0.65,0.12,2.82315
0.78,0.34,2.60085
0.17,0.41,1.79385
0.59,0.93,2.00805
0.98,0.65,2.43625
0.89,0.49,2.5147
0.09,0.48,1.47785
0.98,0.94,2.2632
0.6,0.72,2.1478
0.74,0.48,2.43815
0.48,0.19,2.62925
0.15,0.11,2.4207
0.86,0.55,2.4623
0.97,0.56,2.5022
1.0,0.64,2.4462
0.43,0.66,2.02475
0.85,0.2,2.7761
0.02,0.64,1.08345
0.26,0.02,2.9217
0.12,0.68,1.41955
0.66,0.15,2.77705
0.75,0.58,2.37115
0.04,0.92,1.1181
0.15,0.58,1.5873
0.4,0.84,1.85615
0.94,0.97,2.2299
0.64,0.08,2.87155
0.08,0.63,1.3267
0.81,0.9,2.18695
0.21,0.79,1.57605
0.21,0.13,2.4847
0.82,0.12,2.8519
0.77,0.84,2.2024
0.76,0.89,2.16065
0.06,0.34,1.4495
0.92,0.45,2.56185
0.41,0.87,1.8513
0.11,0.48,1.53985
0.67,0.53,2.3501
0.36,0.88,1.7783
0.47,0.6,2.12425
0.34,0.03,2.90795
0.79,0.95,2.14935
0.24,0.56,1.80915
0.17,0.32,1.941
0.59,0.26,2.6003
0.59,0.68,2.1584
1.0,0.57,2.50335
0.63,0.84,2.09345
0.72,0.58,2.3383
0.84,0.68,2.34515
0.07,0.87,1.21815
0.71,0.48,2.4322
0.27,0.76,1.7009
0.2,0.43,1.8556
0.25,0.83,1.6384
0.74,0.97,2.09915
0.56,0.06,2.89365
0.77,0.18,2.77275
0.61,0.23,2.6377
0.73,0.56,2.37545
0.4,0.67,1.98005
0.93,0.15,2.8366
0.37,0.3,2.3468
0.89,0.6,2.43815
0.32,0.92,1.69875
0.97,0.95,2.254
0.96,0.12,2.8694
0.74,0.25,2.6819
0.47,0.92,1.88925
0.13,0.43,1.6518
0.8,0.68,2.32085
0.01,0.53,1.0708
0.69,0.03,2.955
0.73,0.82,2.17905
0.97,0.94,2.2574
0.9,1.0,2.18725
0.08,0.23,1.7086
0.82,0.79,2.25675
0.42,0.46,2.207
0.62,0.93,2.03215
0.71,0.43,2.476
0.77,0.04,2.9507
0.97,0.53,2.5161
0.73,0.22,2.706
0.59,0.14,2.77115
0.5,0.81,1.98815
0.4,1.0,1.7575
0.89,0.12,2.86325
0.05,0.83,1.1634
0.19,0.67,1.5996
0.97,0.93,2.2588
0.69,0.2,2.7081
0.72,0.64,2.31125
0.94,0.47,2.5547
0.81,0.73,2.29175
0.5,0.86,1.9699
