x,y,score
0.46,0.76,0.7329
0.54,0.86,0.4309
0.16,0.19,2.4159
0.61,0.18,2.7482
0.82,0.41,2.0194
0.72,0.66,1.03825
0.63,0.37,2.0685
0.41,0.28,2.29775
0.16,0.44,1.7191
0.8,0.33,2.3628
0.84,0.23,2.83735
0.25,0.48,1.5825
0.62,0.7,0.91175
0.78,0.28,2.5544
0.03,0.68,0.9748
0.57,0.0,3.247
0.69,0.37,2.09685
0.46,0.05,2.99695
0.65,0.03,3.2669
0.56,0.8,0.5924
0.28,0.44,1.70795
0.65,0.0,3.3445
0.57,0.1,2.94935
0.44,0.29,2.28615
0.63,0.49,1.56245
0.26,0.03,2.8665
0.92,0.27,2.79985
0.69,0.35,2.1974
0.79,0.78,0.6712
0.3,0.26,2.28025
0.98,0.54,1.6947
0.25,0.62,1.1395
0.55,0.43,1.80105
0.19,0.06,2.7402
0.14,0.65,1.03645
0.09,0.65,1.0526
0.92,1.0,0.0
0.51,0.43,1.77525
0.36,0.66,1.0227
0.33,0.92,0.248
0.01,0.93,0.2002
0.25,0.81,0.5721
0.9,0.46,1.82555
0.3,0.12,2.67875
0.87,0.59,1.2564
0.8,0.75,0.7526
0.93,0.2,3.1118
0.34,0.41,1.84645
0.05,0.48,1.55455
0.9,0.12,3.37485
0.59,0.65,1.07935
0.72,0.62,1.1541
0.29,0.87,0.40035
0.02,0.72,0.8559
0.8,0.35,2.26685
0.09,0.22,2.30205
0.05,0.61,1.1883
0.49,0.38,1.97075
0.62,0.21,2.6881
0.79,0.55,1.39125
0.64,0.52,1.4899
0.17,0.15,2.51205
0.45,0.81,0.5706
0.48,0.8,0.6029
0.51,0.39,1.93555
0.62,0.39,1.99075
0.58,0.64,1.08855
0.8,0.62,1.17695
0.6,0.07,3.0875
0.35,0.87,0.3872
0.85,0.83,0.5256
0.96,0.89,0.35265
0.68,0.4,2.00095
0.13,0.15,2.47985
0.14,0.31,2.06095
0.15,0.88,0.36495
0.72,0.97,0.092
0.56,0.33,2.24695
0.52,0.26,2.4242
0.99,0.97,0.0844
0.9,0.63,1.1475
0.31,0.47,1.62595
0.98,0.8,0.62695
0.31,0.34,2.05995
0.22,0.4,1.816
0.87,0.37,2.2958
0.76,0.43,1.8742
0.79,0.76,0.74335
0.83,0.38,2.1719
0.74,0.12,3.1001
0.68,0.51,1.52985
0.56,0.43,1.7958
0.63,0.01,3.28555
0.45,0.24,2.42515
0.52,0.13,2.82015
0.64,0.47,1.648
0.51,0.91,0.28105
0.78,0.92,0.23855
0.92,0.54,1.52175
0.75,0.83,0.51425
0.72,0.5,1.5751
0.53,0.74,0.78375
0.82,0.88,0.3666
0.63,0.35,2.16245
0.8,0.56,1.361
0.99,0.8,0.67785
0.69,0.67,1.00185
0.44,0.43,1.7998
0.71,0.62,1.1449
0.63,0.08,3.0952
0.48,0.4,1.88525
0.93,0.51,1.555
0.65,0.12,2.982
0.78,0.34,2.3175
0.17,0.41,1.7789
0.59,0.93,0.2212
0.98,0.65,1.1329
0.89,0.49,1.63455
0.09,0.48,1.5714
0.98,0.94,0.1812
0.6,0.72,0.85185
0.74,0.48,1.6611
0.48,0.19,2.63175
0.15,0.11,2.6074
0.86,0.55,1.40215
0.97,0.56,1.45835
1.0,0.64,1.48915
0.43,0.66,1.0208
0.85,0.2,2.98525
0.02,0.64,1.0913
0.26,0.02,2.8968
0.12,0.68,0.9659
0.66,0.15,2.9035
0.75,0.58,1.2813
0.04,0.92,0.2476
0.15,0.58,1.2463
0.4,0.84,0.4987
0.94,0.97,0.092
0.64,0.08,3.0858
0.08,0.63,1.1128
0.81,0.9,0.30075
0.21,0.79,0.64415
0.21,0.13,2.5869
0.82,0.12,3.23915
0.77,0.84,0.4895
0.76,0.89,0.3362
0.06,0.34,1.94805
0.92,0.45,1.8731
0.41,0.87,0.389
0.11,0.48,1.5768
0.67,0.53,1.4391
0.36,0.88,0.37045
0.47,0.6,1.21445
0.34,0.03,2.93045
0.79,0.95,0.15195
0.24,0.56,1.3141
0.17,0.32,2.0498
0.59,0.26,2.4581
0.59,0.68,0.9694
1.0,0.57,2.0602
0.63,0.84,0.50675
0.72,0.58,1.2873
0.84,0.68,0.984
0.07,0.87,0.3891
0.71,0.48,1.64005
0.27,0.76,0.72355
0.2,0.43,1.7241
0.25,0.83,0.51615
0.74,0.97,0.09145
0.56,0.06,3.0756
0.77,0.18,2.94445
0.61,0.23,2.5833
0.73,0.56,1.36005
0.4,0.67,0.9791
0.93,0.15,3.3136
0.37,0.3,2.1942
0.89,0.6,1.25335
0.32,0.92,0.2387
0.97,0.95,0.15305
